depth	min	max	median	mean
0	-70	94	-26	-16
2	-54	119	4	10
4	-46	151	33	37
7	-36	209	73	77
10	-28	288	111	117
12	-24	341	136	144
14	-18	398	161	170
17	15	435	197	208
20	47	453	236	243
22	66	467	265	267
24	81	483	296	291
27	100	507	340	327
30	112	548	380	362
32	171	554	404	389
34	230	561	427	415
37	316	574	461	454
40	394	593	496	493
42	440	607	519	520
44	478	625	543	546
47	510	641	562	567
50	530	646	573	579
52	539	650	583	588
54	548	655	594	596
57	558	664	609	608
60	564	680	623	620
62	572	683	628	626
64	579	688	633	632
67	586	696	641	640
70	591	704	649	649
72	595	710	655	654
74	598	717	661	660
77	612	727	668	669
80	624	741	676	679
82	630	752	681	685
84	635	762	687	692
87	641	787	696	701
90	645	814	705	711
92	653	826	711	719
94	659	838	718	727
97	668	858	728	739
100	676	879	738	751
102	679	896	744	759
104	682	917	750	767
107	746	978	821	834
110	799	1060	931	930
112	826	1118	1005	993
114	854	1179	1078	1057
117	890	1288	1187	1152
120	925	1408	1294	1248
122	956	1414	1303	1261
124	992	1421	1311	1274
127	1037	1434	1323	1293
130	1084	1450	1335	1313
132	1107	1465	1342	1326
134	1125	1480	1350	1339
137	1160	1495	1360	1354
140	1199	1502	1369	1368
142	1222	1508	1374	1377
144	1249	1514	1380	1386
147	1273	1528	1390	1400
154	1306	1575	1421	1432
158	1315	1619	1441	1451
162	1323	1668	1460	1471
166	1334	1714	1478	1490
170	1349	1747	1497	1509
174	1360	1782	1515	1528
178	1370	1822	1533	1546
182	1386	1859	1552	1566
186	1400	1890	1573	1586
190	1414	1933	1595	1606
192	1420	1956	1605	1616
194	1426	1982	1615	1626
196	1439	2007	1630	1640
198	1457	2028	1650	1658
201	1473	2072	1680	1686
205	1491	2126	1708	1722
210	1506	2221	1744	1768
215	1588	2295	1866	1882
220	1638	2406	1990	1996
225	1676	2575	2106	2110
230	1855	2619	2225	2230
235	1962	2679	2361	2349
240	2026	2785	2488	2469
245	2272	2820	2601	2582
250	2429	2886	2735	2696
255	2517	3080	2822	2810
260	2604	3153	2906	2895
265	2656	3263	2988	2980
270	2697	3408	3066	3065
275	2835	3450	3145	3145
280	2928	3505	3228	3226
285	2989	3600	3314	3307
290	3160	3647	3394	3398
295	3250	3734	3482	3490
300	3302	3906	3570	3581
