depth	min	max	median	mean
0	-46	-42	-44	-44
1	-42	-39	-40	-40
2	-40	-35	-36	-37
3	-37	-31	-32	-33
4	-35	-27	-29	-29
5	-33	-22	-25	-25
6	-25	-15	-17	-18
7	-17	-6	-9	-10
8	-10	2	-2	-2
9	-3	11	6	5
10	4	21	13	13
11	13	27	21	21
12	21	35	28	28
13	27	44	36	36
14	31	54	44	43
16	42	67	55	55
18	50	75	62	62
20	54	88	70	70
22.5	66	106	84	84
24.5	70	130	94	96
26.5	81	156	112	113
28.5	88	199	130	133
30.5	98	241	147	153
32.5	111	264	169	173
34.5	119	296	189	194
36.5	140	320	210	216
38.5	155	348	234	238
40.5	171	383	258	263
42.5	191	425	290	295
44.5	205	489	320	327
46.5	232	527	353	359
48.5	251	565	387	392
50.5	272	613	420	425
52.5	299	640	454	459
54.5	318	683	489	492
56.5	353	712	522	525
58.5	380	742	558	558
60.5	406	779	591	592
62.5	445	800	624	625
64.5	470	833	659	658
66.5	514	857	692	690
68.5	548	881	726	723
70.5	584	912	760	756
72.5	642	934	792	789
74.5	679	968	826	822
76.5	732	1001	868	863
78.5	765	1053	909	907
80.5	799	1121	949	951
82.5	842	1154	998	998
84.5	870	1208	1044	1044
86.5	929	1242	1090	1089
88.5	972	1268	1140	1135
90.5	1005	1313	1189	1179
