depth	min	max	median	mean
446	11999	12549	12247	12258
450	12045	12559	12290	12295
460	12128	12602	12396	12388
470	12251	12657	12485	12479
480	12336	12700	12578	12567
490	12474	12773	12653	12649
502	12609	12901	12738	12742
510	12725	12981	12802	12812
515	12747	13045	12845	12858
526	12785	13242	12939	12958
530	12807	13274	12977	12994
535	12829	13337	13023	13039
539	12841	13404	13058	13075
542	12849	13466	13083	13102
546	12873	13524	13119	13138
550	12900	13558	13157	13174
556	12932	13619	13214	13228
571	13024	13816	13348	13363
574	13043	13847	13376	13390
580	13078	13929	13430	13445
590	13165	14074	13517	13535
600	13241	14212	13615	13626
609	13344	14335	13692	13708
618	13428	14462	13769	13790
627	13544	14609	13851	13878
638	13762	14752	13961	13999
