depth	min	max	median	mean
965.5	-31	-22	-27	-27
974.5	-24	100	21	25
984.5	-18	237	74	83
994.5	77	356	182	191
1000	105	477	239	252
1004.5	123	589	284	302
1010	494	962	696	703
1020	990	2052	1488	1494
1030	1731	2960	2317	2321
1040	2284	3855	3225	3184
1050	2965	4538	3875	3843
1060	3635	4815	4321	4299
1070	3954	5234	4644	4636
1080	4196	5398	4877	4855
1090	4493	5600	5085	5070
1100	4811	5719	5288	5283
1110	5072	5908	5511	5506
1120	5231	6255	5731	5738
1130	5447	6586	5959	5973
1140	5632	6812	6206	6210
1150	5872	7085	6441	6450
1160	6077	7315	6689	6692
1170	6299	7561	6916	6923
1180	6488	7774	7147	7142
1190	6722	8000	7363	7361
1200	6950	8153	7589	7580
1210	7274	8339	7808	7807
1220	7569	8542	8035	8042
1230	7774	8809	8257	8267
1240	7934	9109	8469	8482
1250	8214	9403	8724	8743
1260	8456	9774	9029	9052
1270	8818	10296	9463	9486
1280	9106	11004	10053	10047
1290	9804	11650	10619	10649
1300	10462	12175	11280	11293
1310	11040	12770	11873	11884
1320	11524	13032	12479	12423
1330	12138	13322	12927	12871
1340	13035	13419	13230	13228
1350	13240	13725	13451	13458
1360	13286	13984	13539	13561
1370	13348	14223	13630	13664
1375	13377	14340	13676	13716
1380	13400	14450	13719	13768
1385	13420	14591	13761	13819
1390	13499	14702	13870	13922
1395	13545	14851	13973	14024
1400	13573	15038	14063	14126
