depth	min	max	median	mean
0	-183	-20	-99	-101
20	-155	32	-62	-62
40	-120	75	-22	-23
60	-82	120	17	17
64	-70	126	24	25
70	-55	136	35	36
74	-47	144	43	44
80	-38	159	55	56
84	-23	165	62	64
90	-6	175	73	76
107	51	218	107	113
120	83	264	139	147
140	135	787	312	352
160	227	1110	521	558
185	386	1427	784	814
205	520	1672	993	1021
225	664	1923	1206	1228
245	814	2159	1421	1435
265	987	2386	1631	1644
285	1163	2595	1842	1851
305	1338	2806	2055	2058
325	1531	3008	2265	2264
345	1726	3200	2474	2469
365	1926	3387	2680	2672
385	2133	3588	2884	2874
405	2336	3783	3088	3077
425	2551	3956	3286	3280
445	2788	4121	3493	3485
465	3035	4283	3706	3691
485	3305	4448	3906	3894
490	3377	4485	3956	3946
495	3441	4526	4007	3998
500	3492	4581	4061	4049
505	3593	4616	4107	4100
510	3677	4652	4154	4151
515	3744	4700	4202	4202
525	3852	4790	4304	4303
545	4005	5034	4494	4501
565	4174	5269	4688	4697
585	4340	5490	4891	4897
605	4508	5697	5093	5097
625	4694	5880	5300	5296
645	4900	6059	5502	5494
665	5110	6228	5705	5696
685	5337	6399	5911	5897
705	5571	6552	6107	6096
710	5636	6586	6155	6145
715	5690	6627	6205	6194
720	5733	6682	6254	6244
725	5840	6707	6300	6295
730	5933	6734	6347	6346
735	5999	6774	6398	6397
740	6048	6826	6447	6448
745	6110	6857	6491	6494
750	6164	6895	6538	6541
755	6212	6949	6585	6588
765	6296	7055	6676	6677
785	6449	7263	6848	6852
805	6609	7449	7033	7031
825	6786	7601	7214	7208
845	6965	7741	7394	7384
865	7185	7860	7573	7559
885	7449	7974	7744	7735
905	7802	8281	7999	8011
925	8005	9466	8524	8582
945	8335	10108	9142	9163
965	8818	10563	9753	9738
985	9555	10914	10368	10329
1005	10535	11265	10859	10881
1025	10718	12213	11225	11284
