depth	min	max	median	mean
0	-67	-34	-51	-51
10	-28	207	51	61
20	33	353	159	169
30	111	483	271	279
40	202	602	379	386
50	294	706	493	493
60	391	810	598	598
70	497	917	706	706
80	609	1022	813	814
90	722	1114	925	923
100	855	1204	1037	1035
110	1001	1280	1150	1148
120	1133	1544	1325	1329
130	1280	1741	1514	1513
140	1469	1898	1703	1698
150	1730	2028	1888	1885
161	1850	2237	2042	2040
170	1950	2380	2164	2165
180	2085	2517	2307	2305
190	2227	2626	2450	2446
201	2403	2729	2618	2603
210	2511	3036	2765	2765
220	2646	3258	2944	2948
230	2796	3470	3126	3128
240	2958	3676	3308	3308
250	3124	3851	3492	3490
260	3291	4037	3674	3672
270	3481	4197	3851	3849
280	3677	4357	4028	4026
290	3881	4507	4208	4206
300	4106	4674	4386	4387
310	4397	4807	4555	4567
320	4506	5047	4722	4739
330	4638	5260	4899	4912
340	4766	5447	5071	5080
350	4909	5631	5243	5252
360	5065	5810	5415	5423
370	5221	5993	5588	5596
380	5390	6170	5761	5763
390	5566	6338	5934	5938
400	5740	6516	6108	6111
410	5935	6683	6279	6282
420	6144	6849	6449	6455
430	6361	7044	6617	6626
440	6668	7241	6788	6817
450	6837	8192	7346	7399
460	7008	8622	7944	7880
