depth	min	max	median	mean
0.5	-50	-32	-45	-44
1.5	-48	1	-36	-33
2.5	-47	34	-28	-22
3.5	-47	68	-20	-12
4.5	-46	101	-11	-1
5.5	-42	124	-2	9
6.5	-37	137	9	20
7.5	-34	156	20	30
8.5	-31	176	30	40
9.5	-28	198	39	51
10.5	-22	217	49	61
11.5	-15	229	59	72
12.5	-9	245	70	82
13.5	-5	261	80	92
14.5	-1	283	90	103
15.5	6	300	100	113
16.5	15	314	110	124
17.5	21	329	120	134
18.5	26	347	130	144
19.5	31	369	139	155
20.5	39	384	149	165
21.5	49	397	159	175
22.5	57	415	169	186
23.5	64	431	179	196
24.5	69	450	189	206
25.5	73	463	195	213
26.5	76	467	199	217
27.5	79	471	202	221
28.5	82	474	206	224
29.5	84	480	209	228
30	85	481	211	230
30.00002	92	483	215	234
35.25	178	757	390	412
40.75	299	979	590	603
50.75	584	1305	963	957
63	1027	1597	1387	1373
