depth	min	max	median	mean
0.5	-43	-36	-39	-39
1	-38	-29	-34	-34
3	-23	0	-11	-11
5	-9	30	12	11
7	0	36	20	19
9	4	48	28	27
11	20	57	38	39
15	39	102	65	67
19	65	353	152	169
21	90	434	204	223
23	108	461	276	278
25	121	513	339	333
27	227	526	395	389
29	275	559	457	445
31	329	609	509	494
33	363	649	540	535
35	385	753	570	577
41	511	844	677	679
43	555	865	714	712
45	573	902	749	746
49	691	937	815	815
51	751	974	859	861
55	805	1239	956	975
57	851	1273	1022	1032
61	921	1402	1146	1149
63	966	1428	1216	1209
65	989	1487	1283	1268
67	1127	1502	1332	1326
71	1337	1599	1458	1459
