depth	min	max	median	mean
0	930	1609	1314	1299
5	1059	1632	1356	1351
10	1134	1666	1407	1404
15	1345	1701	1479	1487
20	1383	1864	1547	1570
25	1476	2005	1724	1727
27.5	1495	2121	1805	1806
30	1508	2274	1883	1885
40	2000	3043	2427	2456
45	2261	4022	3070	3100
50	2334	5449	3648	3743
55	2945	5578	4350	4343
58	3135	5684	4853	4703
60	3228	5879	5134	4943
63	4075	5905	5358	5238
65	4638	5927	5510	5435
70	5681	6211	5923	5928
75	5758	6317	6015	6021
80	5787	6548	6094	6114
85	5862	6610	6199	6209
90	5904	6745	6294	6304
95	6002	6799	6395	6397
100	6051	6900	6496	6490
105	6183	6944	6592	6584
110	6245	7040	6694	6678
115	6496	7076	6774	6776
120	6648	7141	6868	6873
125	6720	7232	6968	6974
130	6750	7442	7062	7076
135	6799	7503	7148	7148
140	6827	7658	7213	7220
