depth	min	max	median	mean
880	-49	-43	-46	-46
884	-35	-25	-30	-30
899	10	168	53	64
919	55	517	218	237
929	101	618	298	315
939	142	713	377	392
949	204	780	461	470
959	272	870	541	548
969	324	958	624	626
1021.5	728	1302	1042	1034
1031.5	806	1366	1122	1111
1041.5	887	1422	1200	1187
1051.5	1015	1467	1274	1266
1061.5	1134	1520	1350	1344
1071.5	1255	1567	1421	1420
1081.5	1393	1608	1487	1490
1091.5	1444	1687	1553	1554
1101.5	1470	1761	1606	1608
1111.5	1519	1812	1662	1663
1121.5	1567	1867	1716	1717
1131.5	1623	1922	1775	1773
1141.5	1719	1964	1831	1833
1151.5	1783	2030	1900	1902
1161.5	1829	2157	1984	1986
1171.5	1919	2223	2071	2070
1181.5	2013	2290	2152	2154
1191.5	2110	2357	2234	2236
1201.5	2170	2464	2313	2314
1211.5	2227	2580	2385	2390
1220.5	2271	2634	2457	2458
1230.5	2373	2685	2537	2536
1240.5	2467	2739	2621	2620
1250.5	2539	2910	2723	2719
1260.5	2621	3036	2820	2821
1270.5	2700	3170	2920	2925
1280.5	2802	3253	3027	3028
1290.5	2955	3335	3140	3141
1300.5	3038	3501	3259	3261
1310.5	3112	3705	3386	3393
1321.5	3228	3867	3524	3529
1322.5	3236	3877	3538	3542
1331.5	3334	3988	3645	3650
1341.5	3430	4104	3775	3770
1351.5	3611	4191	3891	3892
1361.5	3837	4331	4037	4047
1371.5	4000	4585	4250	4264
1381.5	4271	4757	4519	4515
1391.5	4471	4930	4763	4734
1401.5	4616	5122	4901	4885
1411.5	4713	5225	4993	4986
1421.5	4805	5321	5084	5079
1431.5	4899	5399	5187	5176
1441.5	5080	5490	5295	5303
1450.5	5204	5692	5463	5460
1460.5	5335	6234	5730	5746
1470.5	5598	6480	6044	6045
1480.5	5879	6686	6368	6339
1490.5	6408	6784	6608	6605
1530.5	7160	7510	7318	7322
1540.5	7342	8115	7646	7669
1550.5	7543	8606	8161	8136
1560.5	8260	8877	8568	8568
