depth	min	max	median	mean
180	-56	52	-3	-2
200	10	608	210	238
220	133	872	461	470
240	334	1061	710	705
260	782	1373	984	1014
280	1171	16274	4534	5663
300	1845	24177	9258	10356
312	2616	27744	12340	13223
340	4147	37837	19391	19732
360	5487	42827	25252	24468
380	6931	47969	31254	29146
400	8427	52448	37549	33903
420	10046	56713	44482	38699
440	11792	60272	51712	43562
460	13399	63058	55304	46736
480	17203	64953	56684	48835
500	20657	66720	58069	50973
520	24167	68459	59385	53003
540	28540	69954	60785	55095
560	33061	71687	62146	57226
580	36587	73422	63571	59330
600	41392	75197	64955	61498
618	45531	76483	66200	63364
640	51142	78088	67760	65630
660	54314	79607	69078	67435
680	55341	81136	70165	68747
700	56588	82371	71407	70049
718	57670	83724	72525	71201
740	59107	85228	73902	72592
760	60384	86572	75067	73925
780	61698	87902	76275	75227
800	63032	89250	77599	76545
820	64365	90716	78762	77877
840	65693	91985	79990	79155
860	66946	93319	81189	80395
880	68106	94654	82286	81582
900	69152	96020	83346	82749
920	70180	97294	84460	83894
940	71188	98323	85556	85062
960	72273	99574	86687	86232
980	73406	100761	87871	87410
1000	74617	102341	89028	88576
1018	75794	103307	90050	89634
1040	76884	104723	91211	90920
1060	77768	105913	92463	92065
1080	78794	107081	93469	93152
1100	79762	108437	94578	94252
1120	80713	109549	95640	95337
1140	81869	110617	96709	96451
1160	82763	112006	97949	97544
1180	83856	112902	99016	98650
1200	84796	114357	100052	99747
1215	85680	115220	100863	100566
1240	86967	116996	102171	101945
1260	88198	117975	103280	103010
1280	89172	119030	104286	104063
1300	90177	120147	105213	105100
1320	91256	121637	106296	106161
1340	92103	122790	107335	107215
1360	92932	123811	108425	108265
1380	93878	124961	109460	109301
1400	94827	126240	110443	110363
1417	95722	127223	111301	111269
1440	97055	128434	112526	112467
1460	97871	129492	113557	113511
1480	98981	130671	114587	114546
1500	100016	131805	115560	115593
1516	100876	132582	116434	116417
1540	101789	133946	117699	117662
1560	103048	135168	118702	118700
1580	103908	136364	119743	119736
1600	104733	137444	120711	120732
1640	106648	139821	122707	122766
1660	107379	140965	123833	123787
