depth	min	max	median	mean
46.5	15	537	60	105
61	51	698	91	153
65	70	726	100	166
67	76	735	105	173
67.00001	78	735	105	173
69	82	746	111	180
71	84	757	118	187
73	111	805	186	246
75	132	895	307	357
76.5	144	976	397	440
77.5	152	1042	456	496
79.5	165	1222	573	607
80.5	172	1331	630	662
83	256	1527	768	802
85	365	1580	889	914
87	442	1641	1020	1026
91	555	1842	1276	1251
93	691	1936	1382	1359
95	905	1969	1476	1463
97	1090	2013	1573	1567
103	1413	2252	1861	1851
105	1468	2288	1910	1900
107	1504	2338	1961	1949
129	2063	2879	2488	2487
149	2356	3525	2884	2902
173	2696	4257	3358	3389
195	3025	4828	3796	3832
