depth	min	max	median	mean
328	6889	9580	8595	8500
332	7688	9757	9012	8937
336	8585	9976	9377	9350
340	9051	10255	9695	9685
344	9308	10692	9937	9952
347	9534	10975	10130	10157
349	9737	11176	10283	10329
350	9846	11302	10383	10432
351	9917	11423	10491	10535
353	10019	11739	10693	10742
354	10311	11845	10932	10969
355	10495	11968	11184	11196
357	10709	12325	11698	11650
359	11207	12671	12100	12055
361	11875	12755	12449	12411
362	12073	12869	12639	12588
363	12214	13148	12790	12766
364	12292	13204	12859	12834
365	12362	13282	12924	12901
366	12415	13402	12987	12969
367	12476	13540	13044	13036
368	12513	13694	13103	13103
370	12688	13803	13234	13236
372	12797	13980	13363	13368
374	12954	14158	13491	13502
376	13137	14311	13621	13637
378	13253	14526	13757	13773
380	13544	14677	13887	13928
382	13677	14873	14035	14083
384	13804	15080	14206	14258
386	13898	15378	14389	14453
388	13959	15812	14549	14648
