depth	min	max	median	mean
710	2253	5636	4456	4332
750	3356	6158	5253	5133
840	5116	7262	6569	6490
910	5949	8137	7217	7189
950	6496	8609	7599	7593
990	6981	9046	7994	7999
1010	7234	9277	8183	8197
1021	7398	9385	8280	8305
1031	7500	9486	8367	8404
1050	7729	9683	8559	8594
1070	7974	9911	8747	8795
1090	8262	10289	9109	9149
1110	8578	10633	9479	9506
1125	8856	10876	9755	9776
1130	8914	10975	9848	9867
1139	9115	11115	10013	10035
1144	9196	11208	10102	10128
1148	9252	11304	10172	10202
1155	9363	11472	10316	10341
