depth	min	max	median	mean
1.5	-59	23	-29	-26
4.5	-52	193	37	47
8.5	-43	419	125	143
12.5	15	536	232	245
16.5	59	587	367	349
20.5	116	679	473	452
24.5	339	696	558	547
28.5	529	740	645	642
32.5	674	1094	836	850
36.5	715	1744	1087	1127
38.5	729	2072	1212	1266
40.5	794	2327	1346	1407
42.5	958	2369	1496	1556
44.5	1072	2418	1679	1706
47.5	1194	2547	1962	1929
49.5	1262	2708	2130	2079
51.5	1474	2786	2246	2204
54.5	1817	2822	2407	2380
57.5	2076	2894	2584	2556
59.5	2197	2966	2711	2673
61.5	2423	3017	2803	2779
64.5	2790	3098	2931	2932
67.5	2905	3331	3074	3086
69.5	2927	3597	3160	3188
71.5	2993	3706	3239	3268
74.5	3054	3810	3358	3378
79.5	3122	4162	3539	3561
84.5	3274	4284	3719	3734
89	3348	4421	3884	3888
94.5	3616	4529	4092	4090
99.5	3743	4669	4306	4276
103.5	4085	4729	4447	4435
107.5	4415	4775	4587	4596
111.5	4577	4923	4747	4754
114.5	4642	5066	4878	4870
117.5	4688	5242	4993	4986
120.5	4801	5424	5129	5124
123.5	5255	5526	5364	5372
126.5	5381	5936	5608	5620
127.5	5402	6110	5687	5703
129	5421	6368	5805	5828
131.5	5679	6625	6065	6086
132.5	5842	6680	6184	6203
133.5	5998	6739	6303	6320
135.5	6308	6859	6545	6554
137.5	6588	7002	6786	6788
138.5	6702	7089	6903	6905
142.5	6911	7327	7132	7136
147.5	6979	7598	7231	7246
152.5	7049	7798	7331	7355
158.5	7116	7982	7459	7483
166.5	7231	8170	7635	7651
175.5	7378	8354	7828	7840
185.5	7557	8552	8056	8051
195.5	7753	8744	8272	8265
206.5	8011	8920	8517	8502
217.5	8300	9068	8771	8747
229.5	8751	9224	9016	9015
241.5	8972	9473	9213	9220
254.5	9130	9728	9406	9411
267.5	9270	9950	9599	9603
281.5	9458	10151	9810	9809
295.5	9701	10309	10024	10018
304.5	9862	10400	10158	10151
313.5	10067	10497	10283	10285
322.5	10277	10613	10425	10430
