depth	min	max	median	mean
1296	-209	-30	-113	-116
1304	-180	-3	-81	-84
1312	-145	25	-50	-52
1320	-105	52	-17	-20
1324	-86	65	0	-3
1328	-61	78	15	13
1332	-33	87	29	29
1336	-16	102	45	44
1340	11	114	62	62
1344	23	141	78	79
1348	36	170	95	97
1352	47	196	113	115
1356	54	234	128	133
1360	69	253	147	151
1368	93	302	182	187
1376	115	349	220	223
1384	144	383	257	258
1392	173	418	295	295
1400	204	454	333	331
1408	235	487	371	367
1416	266	518	410	403
1424.3	304	551	451	441
1432.8	340	595	493	479
1441.3	370	630	526	515
1449.8	403	677	557	552
1458.3	437	723	591	589
1466.8	471	761	625	624
1475.3	510	798	660	660
1483.8	547	830	696	696
1492.3	588	862	733	731
1500.8	630	892	770	767
1509.4	671	922	810	804
1517.9	710	962	851	842
1520	720	977	863	854
1528	755	1057	904	900
1536	790	1121	945	947
1544	836	1164	990	993
1552	885	1208	1035	1039
1560	936	1251	1086	1088
1568	989	1321	1148	1151
1576	1036	1555	1241	1252
1584	1102	1677	1344	1354
1592	1176	1799	1446	1456
1600	1255	1923	1551	1561
1608	1337	2048	1658	1667
1616	1418	2165	1761	1769
1624.2	1516	2259	1867	1873
1632.5	1615	2359	1974	1979
1640.8	1732	2460	2081	2086
1649.2	1866	2550	2184	2193
1657.5	1994	2633	2285	2300
1665.8	2147	2694	2381	2408
1674.2	2249	2993	2568	2586
1682.5	2364	3247	2750	2764
1690.8	2479	3479	2926	2941
1699.2	2609	3691	3110	3119
1707.5	2748	3894	3294	3299
1715.8	2891	4099	3477	3479
1720	2988	4171	3567	3569
1728.2	3142	4341	3747	3744
1736.3	3299	4515	3930	3921
1744.5	3484	4660	4106	4100
1752.7	3689	4794	4282	4272
1760.8	3902	4928	4457	4446
1769	4122	5063	4637	4623
1777.1	4329	5193	4809	4794
1785.3	4597	5303	4977	4968
1793.5	4872	5406	5104	5117
1801.6	4957	5500	5217	5225
1809.8	5033	5609	5310	5317
1818	5111	5716	5405	5409
1824	5169	5781	5474	5477
1832	5260	5868	5568	5568
1840	5354	5950	5660	5659
1848	5442	6028	5755	5750
1856	5536	6099	5849	5842
1864	5647	6156	5942	5931
1872	5772	6205	6034	6022
1880	5912	6254	6127	6112
1888	6024	6303	6221	6198
1896	6059	6472	6279	6271
1904	6117	6571	6346	6346
1912	6180	6672	6419	6421
1920	6242	6765	6496	6497
1928.3	6304	6856	6575	6576
1936.7	6367	6945	6657	6656
1945	6430	7021	6736	6735
1953.3	6499	7097	6818	6815
1961.7	6572	7172	6903	6895
1970	6642	7240	6985	6975
1978.3	6710	7304	7068	7054
1986.7	6781	7388	7168	7134
1995	6825	7494	7223	7204
2003.3	6870	7609	7287	7272
2011.7	6914	7720	7350	7341
2020	6956	7831	7415	7409
2024.3	6977	7888	7449	7444
2032.8	7016	7985	7517	7513
2041.3	7059	8087	7588	7583
2049.8	7100	8189	7657	7654
2058.3	7141	8294	7726	7724
2066.8	7188	8399	7798	7795
2075.3	7224	8496	7867	7866
2083.8	7271	8598	7941	7936
2092.3	7308	8686	8009	8006
2100.8	7349	8781	8079	8077
2109.4	7388	8871	8149	8147
2117.9	7430	8976	8215	8217
2120	7441	8997	8232	8234
2128.8	7480	9099	8304	8306
2137.6	7527	9192	8383	8379
2146.4	7567	9291	8455	8450
2155.2	7611	9374	8524	8522
2164	7676	9479	8620	8614
2172.7	7756	9599	8723	8713
2181.5	7839	9722	8830	8815
2190.3	7912	9839	8938	8918
2199.1	7988	9969	9043	9021
2207.9	8064	10079	9150	9123
2216.7	8142	10188	9249	9225
2220	8179	10227	9295	9266
2224.4	8224	10286	9358	9320
2228.9	8311	10351	9429	9398
2233.3	8385	10426	9505	9486
2237.8	8478	10508	9595	9577
2242.2	8581	10584	9685	9668
2246.7	8678	10661	9780	9762
2251.1	8838	10725	9873	9854
2255.6	8945	10807	9970	9948
2260	9084	10871	10060	10039
2264.4	9189	10951	10147	10128
2268.9	9312	11030	10235	10220
2273.3	9440	11122	10327	10309
2277.8	9571	11203	10414	10402
2282.2	9724	11281	10496	10493
2286.7	9858	11355	10588	10586
2291.1	10008	11426	10675	10674
2295.6	10127	11512	10765	10764
2300	10313	11573	10848	10855
2304.4	10449	11652	10938	10947
2308.9	10594	11735	11052	11061
2313.3	10685	11843	11168	11185
2317.8	10799	11971	11290	11316
2320	10860	12026	11360	11384
2324	10937	12158	11488	11508
2328	11056	12279	11618	11636
2332	11179	12363	11762	11766
2336	11255	12510	11897	11897
2340	11409	12568	12040	12025
2344	11510	12646	12186	12154
2348	11667	12732	12326	12283
2352	11838	12778	12470	12412
2356	11946	12874	12630	12542
2360	12034	12926	12691	12611
2364	12102	13031	12744	12679
2368	12181	13116	12799	12746
2372	12262	13176	12857	12813
2376	12321	13264	12912	12879
2380	12417	13300	12975	12945
2384	12493	13361	13038	13010
2388	12572	13423	13101	13076
2392	12679	13468	13167	13142
2396	12748	13533	13231	13208
2400	12878	13567	13293	13275
2404	12975	13614	13360	13342
2408	13090	13659	13420	13409
2416	13308	13739	13534	13540
2424	13407	13840	13622	13628
2436	13527	13992	13734	13750
2444	13625	14094	13816	13848
