depth	min	max	median	mean
2	-9	326	146	149
6	40	827	406	415
10	74	1368	667	681
14	564	1440	952	964
18	940	1547	1245	1246
22	1278	1729	1477	1485
26	1412	2006	1669	1680
30	1458	2458	1842	1875
34	1625	2550	2022	2043
38	1711	2709	2211	2210
42	1949	2880	2390	2394
46	2234	3038	2587	2595
50	2365	3317	2789	2797
54	2587	3501	3038	3037
58	2701	3866	3271	3277
62	2940	4143	3499	3507
66	3220	4230	3732	3727
70	3384	4408	3971	3947
74	3849	4527	4196	4192
78	4020	4932	4426	4437
82	4177	5298	4624	4653
86	4300	5440	4833	4840
90	4375	5689	5022	5027
94	4664	5770	5221	5221
98	4820	5928	5432	5416
102	5102	6083	5618	5612
106	5474	6182	5795	5810
110	5632	6454	5991	6008
114	5815	6695	6234	6240
118	5895	7121	6451	6471
122	6052	7424	6677	6698
126	6200	7535	6940	6920
130	6297	7750	7203	7142
134	6856	7794	7405	7377
138	7359	7875	7610	7611
142	7649	8259	7928	7936
146	7759	9163	8304	8350
150	7821	10119	8687	8765
154	8138	10332	9101	9145
158	8312	10645	9553	9526
162	8807	10955	9930	9912
166	9503	11149	10305	10303
170	9891	11515	10701	10694
174	10426	11889	11089	11107
178	10597	12919	11430	11521
182	10839	13805	11812	11930
186	11020	14423	12191	12335
