depth	min	max	median	mean
0	-73	-31	-63	-60
10	-70	-23	-55	-52
20	-68	-8	-47	-44
30	-62	0	-38	-36
40	-59	11	-30	-28
50	-52	18	-22	-21
60	-48	27	-13	-13
70	-40	33	-5	-5
80	-36	43	2	3
90	-28	49	11	11
100	-24	58	19	18
110	-13	63	27	26
118	-8	69	33	33
130	3	75	44	43
140	10	82	53	51
150	26	85	61	59
160	35	91	69	67
170	66	95	82	81
175	77	99	88	88
180	82	109	95	95
185	101	121	111	111
190	108	146	126	126
195	112	173	141	142
200	116	201	157	157
210	137	270	192	195
220	146	371	224	234
260	241	536	384	385
270	285	561	422	423
280	308	599	461	460
290	373	617	497	500
300	403	647	533	539
310	440	704	578	582
320	469	799	622	626
330	503	837	665	668
350	573	946	748	751
360	599	1003	790	793
370	641	1033	833	836
380	666	1088	877	879
400	757	1159	963	962
410	810	1183	1006	1003
420	841	1218	1050	1043
430	907	1238	1093	1088
450	1012	1295	1181	1175
460	1055	1347	1223	1217
470	1093	1391	1260	1255
490	1147	1504	1332	1329
510	1211	1596	1401	1402
530	1285	1680	1473	1475
550	1371	1763	1542	1547
560	1397	1802	1576	1581
570	1446	1833	1611	1618
580	1478	1873	1649	1654
590	1536	1910	1689	1697
595	1551	1936	1709	1718
