depth	min	max	median	mean
0	-199	59	-63	-65
4	-155	89	-28	-29
8	-126	143	7	7
12	-103	210	39	43
16	-73	278	77	84
17	-58	290	89	97
19	-36	313	117	124
20	-27	329	131	137
21	-18	346	145	150
25	-1	444	196	204
26	4	474	207	217
40	116	719	390	398
54	241	912	581	582
68	405	1063	771	764
82	621	1196	965	951
96	924	1296	1145	1136
110	1210	1408	1331	1330
124	1347	1887	1535	1557
130	1383	2031	1637	1656
137	1444	2224	1751	1772
151	1600	2447	2009	2013
165	1801	2629	2257	2245
179	2181	2755	2488	2485
193	2470	3187	2770	2785
207	2644	3717	3090	3116
213	2747	3956	3234	3266
221	2863	4190	3452	3475
227	2968	4426	3601	3632
241	3220	4747	4000	3995
255	3542	5032	4347	4328
269	3942	5233	4703	4670
283	4411	5380	5074	5023
290	4833	5457	5246	5215
304	5336	5878	5620	5618
318	5638	6493	6024	6035
332	6109	6705	6459	6444
346	6562	7205	6816	6837
360	6709	7543	7102	7110
368	6893	7617	7278	7271
382	7279	7794	7557	7553
389	7490	7873	7698	7693
403	7724	8074	7894	7895
417	7837	8221	8050	8044
431	8040	8312	8190	8190
438	8101	8370	8262	8264
451	8214	8671	8387	8402
464	8280	8890	8519	8538
478	8372	9078	8667	8686
499	8536	9354	8890	8905
513	8646	9517	9041	9050
527	8764	9661	9190	9197
540	8888	9806	9326	9332
546	8965	9846	9387	9394
558	9085	9962	9507	9519
570	9218	10071	9639	9645
582	9393	10169	9761	9772
594	9571	10314	9902	9921
