depth	min	max	median	mean
3	8	191	72	80
25	171	1333	624	666
50	906	1754	1339	1336
75	1568	2258	1922	1918
100	1981	2730	2371	2370
125	2324	2982	2641	2644
150	2483	3338	2893	2894
175	2670	3640	3127	3134
200	2862	3937	3374	3381
225	3104	4167	3612	3620
250	3369	4392	3860	3864
275	3644	4611	4101	4106
300	3968	4845	4367	4374
315	4244	5402	4695	4721
325	4454	6022	5053	5094
335	4576	7423	5471	5607
350	4923	8847	6194	6366
365	5273	10128	6906	7121
375	5504	10885	7418	7629
385	5793	11613	7927	8139
400	6209	12809	8684	8910
