depth	min	max	median	mean
6	-57	-51	-54	-54
8	-42	241	88	90
10	-29	536	230	235
11	-23	684	301	307
12	118	701	384	390
13	255	723	470	473
15	486	811	638	640
20	772	1587	1127	1146
25	1506	1964	1758	1751
28	1851	2123	1995	1996
30	1944	2315	2110	2116
35	2097	2572	2327	2329
40	2378	2725	2511	2528
45	2494	2895	2698	2697
50	2771	3097	2872	2889
55	3085	3367	3259	3249
60	3412	3648	3512	3519
65	3647	3910	3779	3776
68	3752	4159	3938	3942
70	3780	4442	4032	4055
72	3843	4633	4140	4168
75	3926	4845	4319	4336
80	4099	5146	4612	4617
83	4225	5285	4791	4784
85	4283	5375	4912	4895
90	4491	5555	5223	5174
95	4668	5686	5512	5452
100	4801	5891	5655	5599
