depth	min	max	median	mean
102	9783	10857	10291	10288
112	9972	11106	10507	10509
120	10065	11429	10665	10686
130	10503	11641	10946	10976
140	10679	12101	11224	11266
150	11472	12470	11973	11972
160	11906	13134	12739	12678
170	12218	13331	12943	12915
180	12413	13738	13157	13153
190	12717	13857	13319	13316
200	12873	14058	13476	13479
210	13013	14203	13619	13622
220	13105	14459	13759	13765
230	13268	14621	13907	13914
240	13361	14839	14057	14063
250	13508	14962	14206	14209
260	13621	15139	14350	14355
270	13799	15275	14495	14504
280	13923	15497	14648	14654
290	14092	15730	14834	14841
300	14189	16070	15003	15028
310	14336	16347	15201	15229
320	14440	16714	15379	15429
330	14617	16976	15578	15628
