depth	min	max	median	mean
0.6	-64	-35	-50	-50
1.3	-61	-26	-44	-44
1.9	-60	-18	-39	-39
2.6	-59	-8	-34	-33
3.2	-58	2	-29	-29
3.9	-57	12	-23	-23
4.5	-56	22	-19	-18
5.2	-56	34	-13	-12
5.8	-55	44	-8	-8
6.5	-55	55	-3	-2
7.2	-54	67	3	4
7.8	-54	77	7	9
8.6	-53	90	14	15
9.3	-53	102	19	21
10.1	-51	114	26	28
10.8	-37	115	33	35
11.6	-21	116	41	43
12.4	-6	117	50	51
13.1	6	118	57	59
13.9	20	119	66	67
14.6	33	121	73	74
15.4	45	124	82	82
16.1	55	126	89	90
16.9	65	130	98	98
17.9	75	139	109	108
18.9	82	153	119	119
19.8	87	168	128	128
20.6	101	187	143	143
21.5	112	216	163	163
22.4	118	250	183	183
23.2	121	282	201	201
23.9	124	311	216	216
24.6	126	341	232	232
25.5	129	380	252	252
26.3	131	415	269	269
27.1	133	451	286	287
28	134	492	306	307
28.8	136	528	324	325
29.5	138	560	340	340
30.4	155	584	359	360
31.2	188	586	376	377
32.1	223	588	395	396
33	258	590	413	414
33.8	287	593	430	431
34.7	320	596	449	450
35.7	355	600	470	471
36.7	388	605	491	492
37.6	417	610	511	511
38.5	442	617	530	530
39.5	465	629	550	551
40.5	483	641	563	566
41.4	496	645	570	573
42.2	505	651	577	580
43	511	659	586	586
43.7	515	667	593	592
44.5	519	679	600	598
45.6	523	696	609	607
46.4	525	712	615	614
47.3	528	730	621	621
48.1	529	747	626	628
48.8	531	762	631	633
49.6	533	781	636	640
50.3	537	792	640	645
51.1	545	794	646	651
51.8	551	797	651	656
52.4	555	800	656	660
53	557	803	661	664
53.6	559	805	665	669
54.5	563	809	673	675
55.4	566	814	680	681
56.2	568	821	686	687
57.1	571	829	692	694
58	574	837	700	700
58.8	576	846	705	706
59.7	579	857	711	712
60.6	588	862	717	719
61.5	599	866	724	725
62.3	608	869	730	731
63.3	616	872	737	738
64.2	623	876	744	745
65	630	879	751	750
65.9	635	883	757	757
66.7	639	887	763	763
67.4	643	891	769	768
68.1	646	896	774	773
68.7	649	901	779	777
69.3	652	906	784	782
70	654	913	789	787
70.9	668	915	794	793
71.8	682	918	798	799
72.7	693	921	803	805
73.6	704	924	808	811
74.7	716	929	815	819
75.7	724	935	822	825
76.7	731	941	828	832
77.6	736	949	834	838
78.5	740	956	840	845
79.4	743	968	846	851
80.3	746	978	851	856
81.1	749	982	856	860
81.8	752	987	860	864
82.7	755	994	864	869
83.7	758	1003	869	874
84.5	760	1010	873	878
85.4	763	1020	877	882
86.5	765	1034	882	888
87.4	767	1046	886	893
88.3	770	1057	890	897
89.3	771	1074	894	902
90.1	773	1085	898	907
