depth	min	max	median	mean
465	-162	101	-37	-35
471	-74	356	120	127
475	-46	592	216	236
480	-22	893	338	371
490	189	1029	648	635
500	558	1193	917	904
510	987	1335	1181	1179
520	1139	2052	1495	1529
530	1336	2566	1837	1874
540	1488	2910	2214	2212
550	1931	3035	2595	2567
560	2472	3228	2929	2907
570	2990	3484	3229	3233
580	3148	3754	3424	3432
590	3400	4101	3687	3703
600	3561	4698	4012	4045
610	4325	5113	4773	4756
620	5157	5555	5385	5384
630	5418	6712	5874	5927
640	5667	6994	6288	6300
650	5982	7351	6676	6671
660	6214	7636	7084	7039
670	6818	7765	7414	7388
