depth	min	max	median	mean
2	-36	219	56	68
4	-32	478	150	174
6	-28	736	245	281
8	-24	994	340	388
10	-20	1252	435	495
12	96	1278	541	597
14	155	1303	671	699
16	198	1334	819	801
18	237	1384	957	903
19	251	1421	1018	954
21	390	1481	1115	1054
23	639	1489	1196	1150
25	888	1499	1277	1247
27	1132	1511	1356	1344
29	1351	1538	1436	1441
31	1420	1596	1495	1499
33	1434	1629	1515	1519
35	1441	1677	1533	1539
37	1446	1734	1549	1559
39	1451	1794	1564	1579
41	1521	1852	1626	1642
43	1637	1915	1737	1749
45	1717	1989	1855	1855
47	1776	2087	1974	1961
49	1834	2209	2092	2068
51	1874	2286	2156	2129
53	1899	2304	2169	2145
55	1927	2328	2180	2161
58	1962	2386	2197	2185
59	1968	2411	2202	2194
60	1973	2433	2208	2202
61	1990	2443	2213	2208
62	2004	2453	2219	2215
64	2025	2476	2230	2228
66	2044	2507	2241	2241
68	2060	2541	2251	2254
70	2072	2578	2262	2267
72	2123	2607	2284	2289
74	2153	2645	2306	2312
76	2168	2677	2324	2334
78	2177	2714	2337	2356
81	2205	2771	2383	2407
