depth	min	max	median	mean
2	-59	42	-3	-4
5	-48	50	6	5
10	-37	70	21	20
15	-29	95	35	35
20	-23	125	49	50
25	6	133	64	66
30	31	143	79	81
35	50	157	94	97
40	62	178	110	112
50	143	309	225	227
60	187	488	334	343
70	311	574	436	439
80	343	778	529	535
89	412	823	602	606
110	591	978	765	771
120	661	1066	844	848
130	804	1220	972	982
140	841	1539	1083	1115
150	934	1699	1250	1267
160	983	1993	1396	1418
170	1115	2109	1562	1575
180	1188	2327	1724	1732
190	1357	2411	1881	1882
200	1445	2556	2042	2032
210	1622	2622	2191	2174
220	1727	2746	2345	2316
230	2040	2800	2491	2472
240	2199	2902	2661	2627
250	2512	2957	2768	2764
260	2651	3111	2898	2901
270	2771	3197	2984	2986
280	2823	3366	3062	3070
290	2906	3431	3148	3153
300	2955	3551	3231	3236
310	3074	3616	3312	3319
320	3132	3711	3397	3403
330	3345	3813	3510	3524
340	3404	4016	3623	3645
350	3511	4294	3827	3848
360	3560	4776	4007	4051
410	4354	5655	5071	5055
420	4491	5823	5286	5253
430	4915	5887	5481	5460
440	5158	6036	5693	5667
450	5529	6099	5835	5824
460	5689	6268	5987	5980
470	5767	6368	6077	6072
480	5819	6534	6161	6165
500	5959	6731	6342	6344
510	6058	6797	6438	6435
520	6121	6917	6530	6526
530	6241	6966	6623	6618
540	6307	7055	6721	6710
550	6444	7102	6807	6799
560	6521	7178	6901	6887
570	6716	7214	6977	6976
580	6828	7283	7062	7065
600	6966	7579	7235	7243
610	7037	7671	7323	7331
620	7084	7827	7405	7418
630	7164	7898	7496	7506
650	7301	8092	7680	7684
660	7353	8209	7769	7773
680	7520	8366	7957	7953
690	7641	8423	8048	8043
700	7715	8520	8142	8134
710	7860	8585	8226	8223
720	7936	8684	8317	8311
730	8140	8751	8393	8403
740	8264	8858	8479	8494
750	8379	8946	8573	8591
760	8426	9086	8660	8687
770	8493	9188	8763	8786
780	8532	9364	8859	8884
790	8609	9461	8956	8979
800	8654	9618	9054	9074
810	8744	9702	9155	9169
820	8801	9828	9252	9265
830	8898	9910	9354	9362
840	8954	10031	9451	9459
850	9061	10102	9549	9556
860	9131	10212	9649	9653
870	9243	10300	9744	9749
880	9320	10411	9841	9845
890	9457	10513	9934	9942
900	9544	10624	10032	10040
910	9690	10735	10120	10137
920	9785	10865	10215	10234
930	9974	10968	10317	10347
940	10071	11104	10427	10460
950	10236	11341	10647	10682
960	10313	11781	10846	10904
970	10476	12002	11087	11125
990	10762	12530	11533	11566
1000	10879	12836	11756	11785
1010	11100	13011	11989	12005
1020	11229	13279	12221	12225
1030	11533	13448	12438	12447
1040	11700	13708	12675	12669
1050	11954	13940	12918	12920
1060	12089	14376	13152	13172
1070	12355	14623	13406	13432
1090	12824	15243	13897	13945
1100	13006	15597	14148	14198
1110	13280	15797	14382	14441
1120	13448	16116	14620	14684
1130	13611	16352	14821	14887
1140	13715	16705	15026	15090
1150	13875	16937	15238	15292
1160	13997	17273	15434	15495
