depth	min	max	median	mean
20	1619	5222	3830	3695
30	2682	5354	4322	4260
40	3476	5651	4914	4825
50	4897	5810	5406	5392
60	5429	6623	5928	5960
70	5977	6831	6380	6387
80	6287	7225	6840	6814
90	6692	7397	7099	7086
100	6845	7884	7355	7359
105	6978	7932	7454	7455
110	7069	7990	7558	7551
120	7183	8199	7762	7743
130	7620	8282	7952	7953
140	7829	8487	8159	8162
150	8007	8835	8393	8398
160	8094	9370	8597	8633
170	8296	9535	8849	8867
180	8406	9810	9099	9100
190	8731	9901	9328	9325
200	8890	10075	9571	9551
210	9500	10170	9845	9844
215	9626	10353	9991	9990
220	9688	10697	10121	10137
230	9905	11812	10580	10651
