depth	min	max	median	mean
20	-21	489	143	171
40	397	746	597	585
60	668	1015	839	839
80	858	1317	1052	1063
100	1219	1581	1402	1409
116	1370	1929	1618	1627
156	1803	2313	2024	2043
160	1827	2339	2052	2071
180	2000	2693	2338	2340
200	2352	2856	2633	2623
220	2534	3197	2860	2859
240	2719	3410	3085	3080
260	3050	3623	3331	3330
272	3252	3847	3565	3561
290	3672	4219	3917	3925
294	3756	4299	4001	4009
300	3844	4482	4125	4135
320	4117	5444	4713	4734
340	4710	5763	5329	5301
360	5555	6139	5864	5859
380	5947	6522	6220	6225
400	6163	6803	6492	6490
426	6512	7043	6764	6766
430	6546	7071	6789	6794
444	6667	7241	6910	6926
446	6686	7291	6939	6957
458	6758	7722	7107	7142
