depth	min	max	median	mean
0	-17	-11	-14	-14
10	-12	353	60	90
20	-10	720	133	194
30	23	822	249	295
45	80	1065	401	448
55	114	1192	510	550
65	175	1327	614	652
75	230	1428	726	755
85	306	1540	832	857
95	366	1630	942	959
105	461	1730	1049	1062
120	561	1889	1217	1218
130	691	1955	1319	1318
140	755	2060	1426	1419
155	959	2166	1579	1574
165	1106	2245	1676	1677
175	1251	2315	1775	1779
185	1452	2421	1881	1896
195	1627	2562	2000	2025
205	1750	2748	2165	2185
215	1823	3136	2336	2377
225	1933	3489	2514	2569
235	2012	3676	2728	2762
245	2153	3902	2925	2955
255	2267	4059	3141	3149
265	2434	4248	3338	3341
275	2583	4368	3549	3531
285	2797	4513	3744	3721
295	2995	4616	3948	3911
305	3305	4737	4132	4102
320	3713	4910	4422	4389
335	4052	5078	4643	4622
345	4175	5285	4769	4758
355	4267	5451	4878	4874
365	4369	5612	4986	4990
375	4450	5722	5106	5105
385	4563	5847	5220	5219
395	4672	5932	5340	5332
405	4797	6030	5453	5445
415	4922	6109	5577	5560
420	4951	6172	5636	5617
430	5150	6225	5748	5731
440	5254	6331	5867	5845
450	5533	6388	5963	5960
460	5684	6500	6075	6076
