depth	min	max	median	mean
551	-26	74	22	22
559	20	921	452	451
569	79	1980	989	987
578	846	2208	1440	1456
583	1183	2283	1707	1716
593	1713	2596	2210	2198
598	2078	2678	2387	2394
608	2366	3229	2784	2788
618	2910	3487	3169	3179
628	3268	3919	3562	3569
638	3928	4523	4222	4223
648	4476	5282	4967	4944
658	5173	5793	5556	5536
668	5406	6790	6102	6096
673	5741	7035	6374	6374
678	6227	7114	6644	6650
683	6634	7208	6925	6926
684	6696	7250	6980	6982
689	6903	7608	7257	7258
691	6993	7732	7358	7359
694	7168	7823	7496	7498
696	7266	7893	7592	7590
699	7387	8009	7739	7729
704	7520	8225	7989	7960
709	7629	8492	8242	8191
714	7707	8586	8359	8298
719	7776	8659	8435	8374
722	7817	8752	8468	8419
