depth	min	max	median	mean
0	-44	-41	-42	-42
5	-31	-29	-30	-30
10	-20	-17	-18	-18
15	-9	-3	-6	-6
20	2	10	6	6
25	15	34	24	24
30	25	61	42	42
35	34	89	60	61
40	42	117	79	79
45	68	151	106	107
50	80	207	133	136
55	87	269	160	165
60	94	330	187	194
65	130	382	233	239
70	150	468	277	285
75	163	582	317	331
80	174	704	356	377
90	243	878	473	494
100	281	1149	577	612
110	361	1279	702	733
120	400	1486	819	854
130	485	1615	941	971
140	546	1801	1056	1088
150	651	1899	1179	1206
160	707	2065	1297	1324
170	832	2169	1425	1445
180	908	2334	1547	1565
190	1024	2435	1665	1684
200	1102	2582	1785	1802
210	1228	2678	1912	1921
220	1305	2822	2029	2040
230	1436	2907	2146	2157
240	1521	3033	2270	2275
250	1652	3128	2393	2392
260	1745	3260	2510	2510
275	1932	3401	2695	2688
280	1987	3455	2758	2747
290	2139	3551	2883	2871
300	2257	3670	3005	2994
310	2426	3748	3126	3115
320	2551	3858	3250	3237
330	2712	3938	3364	3354
340	2801	4059	3484	3472
350	3015	4143	3591	3590
360	3139	4248	3706	3708
370	3240	4364	3809	3814
375	3283	4457	3861	3866
