depth	min	max	median	mean
5	-153	61	-37	-40
100	114	747	373	388
210	513	1334	874	888
300	872	1794	1283	1295
390	1268	2215	1690	1705
480	1697	2649	2086	2114
554	2118	3050	2408	2454
579	2256	3281	2657	2668
609	2467	3589	2954	2966
639	2697	3900	3260	3268
673	3015	4187	3609	3608
703	3331	4447	3914	3906
733	3679	4662	4219	4208
767	4186	4914	4552	4550
797	4556	5248	4854	4866
827	4793	5653	5175	5189
861	5083	6027	5558	5559
871	5218	6097	5671	5668
916	5891	6493	6155	6157
955	6318	7653	6867	6899
985	6746	8349	7491	7507
1015	7285	8853	8149	8127
1059	8481	9411	9044	9022
1069	8877	9517	9262	9249
1099	9315	10807	9917	9956
1145	10182	11910	11057	11054
1175	10965	12413	11786	11761
1205	11736	12958	12420	12415
1239	12244	13854	12996	13005
1259	12565	14276	13334	13355
1289	13226	14770	13817	13872
1299	13406	14948	13974	14047
1309	13555	15210	14177	14248
1799	21071	27647	24045	24141
1819	21399	28133	24454	24545
1829	21568	28361	24667	24746
