depth	min	max	median	mean
4	-48	73	-14	-7
44	87	862	377	403
84	390	1279	825	828
124	818	1581	1258	1243
164	1468	1818	1647	1653
204	1677	2324	1927	1946
244	1862	2762	2202	2229
284	2074	3127	2472	2509
324	2312	3448	2725	2806
364	2764	3986	3334	3348
404	3340	4457	3964	3943
444	4216	4778	4542	4534
484	4672	5559	5046	5066
524	5032	6120	5560	5565
564	5527	6529	6081	6068
604	6345	6879	6595	6597
644	6797	7967	7252	7286
684	7320	8726	8008	8009
704	7673	8988	8392	8374
724	8119	9224	8767	8740
784	9779	11259	10478	10487
804	10745	11724	11215	11237
824	11408	12641	12030	12035
844	11680	12945	12356	12356
864	11955	13172	12611	12603
904	12590	13554	13115	13103
944	13321	14139	13669	13684
964	13511	15058	14027	14093
984	13720	15734	14421	14499
1004	13932	16323	14825	14903
1024	14167	16919	15210	15306
1044	14449	17481	15628	15714
1064	14732	18039	16045	16124
1084	15014	18583	16441	16525
1104	15311	19081	16830	16926
1144	15896	20070	17642	17731
