depth	min	max	median	mean
5	-40	167	9	23
15	-4	451	136	159
25	57	656	270	294
35	135	835	410	430
45	228	1001	549	567
55	317	1168	685	704
65	420	1336	823	838
75	532	1490	960	973
85	642	1631	1100	1108
95	756	1758	1237	1243
105	871	1900	1372	1377
115	1000	2037	1508	1511
125	1128	2168	1643	1644
135	1259	2292	1780	1777
145	1400	2405	1916	1911
155	1546	2520	2053	2048
165	1692	2632	2191	2183
175	1848	2747	2325	2318
185	2011	2848	2462	2454
195	2184	2953	2597	2590
205	2366	3062	2727	2724
215	2606	3164	2846	2859
225	2779	3317	2986	3002
235	2863	3548	3137	3155
245	2958	3760	3293	3309
255	3063	3961	3450	3464
265	3171	4152	3606	3619
275	3292	4326	3763	3774
285	3418	4496	3920	3930
295	3555	4650	4078	4084
305	3679	4805	4230	4236
315	3823	4964	4386	4389
325	3970	5124	4542	4543
335	4117	5272	4700	4698
345	4271	5415	4855	4851
355	4436	5546	5008	5002
365	4596	5672	5162	5154
375	4758	5801	5317	5307
385	4932	5918	5473	5461
395	5109	6034	5628	5613
405	5308	6145	5782	5768
415	5524	6257	5938	5925
425	5773	6352	6090	6080
435	6009	6472	6247	6243
445	6130	6727	6413	6418
455	6245	7024	6582	6598
465	6367	7277	6760	6779
475	6503	7499	6944	6959
485	6641	7713	7126	7141
495	6800	7911	7309	7321
505	6951	8094	7490	7500
515	7115	8275	7677	7680
525	7283	8443	7861	7861
535	7464	8615	8042	8041
545	7643	8774	8221	8220
555	7827	8917	8407	8397
565	8029	9061	8590	8577
575	8232	9190	8773	8759
585	8456	9319	8954	8939
595	8736	9433	9131	9120
605	9009	9553	9318	9304
615	9136	9842	9494	9490
625	9265	10148	9669	9679
635	9400	10405	9857	9868
645	9545	10635	10048	10058
655	9699	10858	10240	10249
665	9857	11062	10436	10441
675	10030	11254	10628	10633
685	10205	11443	10822	10825
695	10394	11628	11018	11017
702.5	10527	11764	11159	11160
707.5	10620	11843	11255	11255
712.5	10732	11932	11355	11350
717.5	10830	12003	11451	11446
722.5	10942	12083	11547	11541
727.5	11041	12155	11645	11636
732.5	11153	12232	11743	11731
737.5	11270	12299	11842	11826
742.5	11394	12371	11935	11921
747.5	11519	12431	12030	12017
752.5	11663	12494	12123	12113
757.5	11805	12540	12218	12208
762.5	11943	12592	12313	12303
767.5	12047	12660	12410	12397
772.5	12137	12738	12504	12489
777.5	12209	12810	12605	12579
782.5	12282	12909	12691	12664
787.5	12352	13062	12755	12744
792.5	12424	13197	12823	12822
797.5	12497	13310	12896	12899
802.5	12568	13435	12969	12978
807.5	12643	13550	13045	13057
812.5	12720	13667	13119	13136
817.5	12791	13798	13194	13214
822.5	12870	13919	13268	13293
827.5	12944	14043	13344	13372
832.5	13027	14159	13415	13450
837.5	13109	14284	13489	13527
842.5	13197	14403	13558	13605
847.5	13285	14516	13628	13682
852.5	13397	14656	13702	13766
857.5	13509	14781	13774	13859
862.5	13614	14940	13926	13994
867.5	13700	15116	14114	14171
872.5	13782	15308	14256	14318
877.5	13843	15447	14373	14434
882.5	13907	15574	14480	14543
887.5	13970	15696	14581	14644
