depth	min	max	median	mean
0	-67	30	-26	-24
10	-15	247	80	89
20	50	406	193	203
30	130	561	307	318
40	211	707	423	432
50	302	840	542	551
60	401	968	656	665
70	500	1099	777	782
80	609	1217	895	900
90	715	1355	1013	1018
100	815	1458	1125	1129
110	933	1582	1246	1246
120	1037	1701	1365	1362
130	1139	1822	1480	1478
140	1260	1931	1600	1598
141	1274	1940	1610	1609
142	1289	1949	1621	1620
143	1299	1961	1632	1631
144	1308	1970	1642	1642
146	1331	1993	1666	1665
147	1346	2004	1679	1678
148	1364	2017	1691	1690
149	1379	2029	1704	1702
150	1388	2039	1716	1714
165	1570	2204	1898	1893
170	1625	2261	1956	1952
180	1748	2371	2076	2069
190	1881	2458	2191	2185
200	2021	2564	2312	2308
205	2086	2609	2369	2363
210	2168	2659	2425	2421
220	2309	2763	2539	2536
230	2468	2850	2653	2651
240	2654	2946	2746	2767
250	2808	3146	2981	2980
260	3010	3334	3166	3169
270	3140	3511	3322	3325
280	3289	3649	3478	3474
290	3505	3805	3625	3631
300	3652	4120	3844	3855
310	3810	4378	4076	4079
