depth	min	max	median	mean
120	7376	10159	9143	9028
140	7911	10352	9503	9402
160	8579	10526	9888	9794
180	9434	10694	10240	10189
195	10259	10934	10504	10522
200	10286	11213	10592	10633
210	10393	11362	10802	10821
220	10435	11722	10983	11009
230	10617	11788	11204	11201
240	10688	11985	11422	11394
250	11170	12073	11605	11601
260	11403	12296	11818	11809
270	11521	12441	11979	11978
280	11575	12773	12126	12148
290	11776	12853	12317	12315
298	11842	12977	12468	12449
310	12176	13119	12708	12703
312	12212	13147	12752	12748
314	12247	13197	12799	12792
316	12271	13268	12844	12836
320	12323	13456	12923	12924
330	12665	13603	13195	13179
340	12780	13947	13466	13433
350	13437	14024	13720	13726
360	13612	14576	13996	14020
370	13745	14946	14262	14287
380	13794	15653	14482	14555
390	14007	15807	14790	14819
400	14087	16160	15067	15083
410	14392	16265	15358	15349
420	14532	16520	15666	15615
430	15141	16606	15890	15880
440	15424	16805	16152	16144
448	15584	17027	16322	16320
500	16139	19264	17274	17390
540	16630	20528	18065	18201
600	17402	22266	19321	19455
650	18080	23634	20326	20462
698	18777	24944	21296	21443
