depth	min	max	median	mean
0	-132	39	-26	-31
16	-77	100	19	18
32	-14	154	65	67
38	2	177	83	85
52	82	304	166	176
57	91	389	193	212
64	126	492	254	273
96	256	1080	564	591
128	465	1506	888	914
160	685	1926	1209	1237
192	961	2271	1531	1553
224	1259	2639	1850	1874
256	1572	3001	2162	2191
272	1759	3170	2314	2350
288	1951	3345	2460	2510
304	2151	3531	2607	2675
320	2363	3736	2767	2861
336	2608	4166	3233	3275
352	2906	4558	3676	3691
368	3276	4926	4110	4106
384	3682	5242	4547	4521
400	4182	5494	4970	4941
416	4435	5784	5204	5186
448	4867	6333	5648	5637
464	5090	6578	5871	5863
480	5304	6820	6101	6091
496	5565	6995	6328	6316
512	5835	7172	6555	6540
528	6110	7350	6775	6765
544	6412	7541	6997	6990
560	6759	7727	7214	7215
568	6948	7901	7426	7424
576	7047	8242	7626	7632
587	7379	8552	7907	7922
592	7514	8647	8046	8054
608	8022	9042	8483	8499
624	8314	9748	8933	8959
637	8503	10273	9287	9317
640	8540	10448	9363	9400
643	8636	10501	9450	9484
656	8894	10873	9838	9847
672	9320	11278	10289	10293
688	9829	11647	10735	10736
704	10267	12007	11178	11147
720	10504	12500	11467	11469
736	10762	12873	11749	11766
768	11281	13636	12335	12368
800	11801	14360	12929	12968
816	12121	14675	13221	13269
832	12387	15028	13524	13580
