depth	min	max	median	mean
10	44	1024	598	571
15	66	1536	896	857
25	622	2089	1403	1377
35	1381	2290	1850	1844
42	1567	2670	2108	2111
50	1685	2779	2244	2241
60	1774	3045	2402	2403
67	1923	3104	2518	2518
75	2029	3219	2662	2650
85	2300	3373	2828	2834
92	2498	3490	2960	2976
100	2605	3763	3112	3137
107	2840	4174	3452	3468
115	2926	5013	3780	3845
125	3211	5676	4249	4315
135	3416	5891	4848	4782
142	3719	6168	5194	5110
150	4625	6252	5522	5490
155	5060	6340	5731	5728
160	5329	6559	5976	5966
165	5481	7085	6199	6221
170	5571	7969	6368	6477
175	5649	8894	6537	6732
