depth	min	max	median	mean
865	-45	-17	-30	-31
872	-30	12	-9	-9
880	-24	56	14	15
888	-3	91	40	41
896	17	127	69	70
907	35	212	105	110
912	47	228	123	127
920	60	270	148	153
928	75	317	173	180
936	93	346	201	206
944	104	386	228	233
952	131	411	255	260
960	150	440	284	287
968	171	470	311	314
976	196	490	340	341
984	214	519	369	368
992	248	537	397	395
1008	298	583	452	449
1024	352	618	506	502
1040	457	645	557	555
1056	506	714	614	610
1072	543	816	664	667
1088	579	901	717	723
1104	617	970	772	778
1120	660	1026	828	833
1136	708	1084	885	888
1152	756	1140	942	943
1168	809	1198	998	999
1184	859	1251	1055	1055
1203	930	1309	1121	1119
1216	987	1351	1165	1164
1232	1056	1407	1220	1219
1248	1129	1465	1275	1276
1264	1192	1537	1339	1343
1280	1245	1640	1414	1422
1296	1303	1747	1492	1502
1312	1364	1847	1572	1582
1328	1424	1947	1654	1662
1344	1487	2032	1734	1741
1360	1562	2105	1817	1821
1376	1643	2176	1897	1901
1392	1727	2248	1976	1981
1408	1813	2328	2055	2060
1424	1907	2433	2141	2140
1440	2028	2598	2278	2269
1456	2128	2806	2415	2424
1472	2232	3039	2575	2591
1488	2342	3251	2743	2759
1504	2465	3440	2926	2933
1520	2609	3587	3101	3101
1536	2786	3739	3273	3271
1552	2972	3889	3446	3442
1568	3158	4024	3618	3612
1584	3345	4149	3790	3778
1603	3673	4288	3981	3982
1616	3918	4414	4134	4143
1632	4052	4729	4345	4358
1648	4170	5127	4567	4590
1664	4309	5395	4806	4822
1680	4516	5580	5052	5052
1691	4683	5717	5214	5209
1712	5002	5920	5523	5505
1728	5268	6065	5752	5729
1744	5694	6170	5960	5959
1760	5882	6416	6147	6149
1776	6019	6667	6316	6322
1789	6113	6860	6447	6457
1808	6266	7048	6648	6652
1824	6408	7171	6828	6817
1840	6630	7268	7001	6986
1856	6918	7359	7156	7152
1872	7161	7534	7358	7358
1888	7320	8002	7601	7618
1904	7485	8213	7908	7889
1920	8077	8545	8291	8292
1936	8360	9551	8935	8945
1952	8887	10482	9682	9691
1960	9154	10614	10125	10055
1968	9366	10808	10442	10333
1976	9567	10901	10581	10467
1984	9730	11088	10706	10602
2004	9968	11387	10836	10762
2008	10025	11438	10861	10792
2012	10088	11474	10887	10822
2016	10141	11527	10912	10852
2020	10191	11573	10936	10882
2028	10303	11694	11004	10962
2032	10366	11770	11056	11018
