depth	min	max	median	mean
1	-17	-8	-13	-13
10	-13	59	11	14
20	-10	135	38	44
30	25	176	78	83
40	42	249	115	122
50	156	960	519	528
60	213	1787	913	934
70	784	1923	1326	1337
80	1098	2233	1766	1740
90	1263	2498	1945	1929
100	1380	2918	2104	2118
110	1555	3101	2292	2306
120	1670	3420	2472	2494
130	1859	3598	2668	2682
140	1986	3872	2852	2871
150	2183	4032	3039	3059
160	2311	4279	3233	3247
170	2530	4423	3421	3436
180	2664	4647	3610	3624
190	2908	4799	3797	3813
200	3053	5041	3983	4001
210	3226	5282	4185	4205
220	3343	5690	4370	4408
230	3496	5939	4573	4610
240	3610	6298	4764	4812
250	3772	6540	4963	5015
260	3895	6876	5154	5217
270	4058	7092	5353	5417
280	4174	7413	5556	5617
290	4346	7643	5756	5818
300	4471	7963	5951	6020
310	4640	8195	6159	6223
320	4770	8507	6358	6426
330	4941	8732	6561	6628
340	5069	9018	6761	6829
350	5235	9260	6965	7029
360	5370	9528	7157	7229
