depth	min	max	median	mean
0	-123	39	-36	-37
40	7	601	222	244
50	47	700	293	314
60	79	800	363	383
90	225	1040	578	593
110	352	1175	721	733
130	474	1309	868	874
160	694	1520	1081	1086
180	858	1658	1219	1228
190	981	1704	1279	1299
200	1066	1805	1372	1391
210	1118	2027	1479	1505
220	1199	2142	1597	1619
230	1278	2289	1711	1732
240	1340	2446	1827	1844
255	1482	2618	2000	2015
260	1559	2664	2058	2071
270	1641	2793	2176	2184
280	1795	2895	2287	2297
290	1944	3019	2401	2410
300	2065	3152	2518	2522
310	2264	3698	2894	2924
315	2298	4176	3065	3124
320	2523	4249	3296	3329
330	2702	4610	3781	3738
340	3559	4745	4137	4141
350	3914	5453	4555	4592
351	3934	5611	4591	4642
360	4042	7244	4888	5092
370	4283	8024	5395	5593
375	4338	8733	5608	5844
380	4498	9013	5872	6095
390	4652	9926	6351	6597
400	4915	10536	6863	7096
410	5167	11323	7361	7600
420	5382	12242	7868	8109
425	5577	12494	8117	8357
435	5813	13303	8599	8855
445	6151	13912	9111	9354
