depth	min	max	median	mean
1	-143	771	351	336
10	39	896	527	513
20	222	1154	722	717
30	385	1545	913	932
40	574	1779	1135	1149
50	747	2052	1352	1366
60	901	2290	1578	1584
70	1127	2458	1805	1802
80	1352	2650	2029	2021
90	1548	2829	2255	2237
100	1923	2967	2456	2458
110	2130	3155	2657	2659
115	2203	3269	2747	2745
120	2261	3422	2828	2831
125	2339	3520	2910	2914
130	2415	3616	2992	2997
140	2554	3838	3149	3161
150	2686	4044	3309	3325
160	2858	4216	3469	3487
170	3014	4407	3630	3652
180	3156	4609	3797	3818
190	3337	4773	3955	3982
200	3536	4968	4123	4156
210	3720	5206	4314	4348
220	4002	5453	4713	4717
230	4284	5837	5118	5104
240	4527	6121	5566	5488
250	4711	6443	5783	5718
255	4780	6672	5869	5825
260	4876	6811	5966	5927
265	4964	6968	6061	6029
270	5034	7166	6151	6131
