depth	min	max	median	mean
7.5	-33	127	29	34
17.5	-2	274	88	101
22.5	17	312	123	133
32	147	527	259	278
37.5	217	1146	489	540
47.4	872	6966	3040	3283
58	1935	33243	12384	13822
68.5	7365	43376	23205	23836
79	15666	53085	33812	33968
94.6	33861	61584	50158	49327
100	45317	63471	54481	54462
122.6	56407	70625	62519	62756
157.5	61370	76199	68106	68276
172.5	63111	78590	70222	70418
197.5	65686	82068	73263	73477
222.2	68445	85093	76217	76421
270.5	73460	90263	81314	81487
295	75719	92848	83814	83923
320.5	77981	95269	86213	86308
354.5	80755	98480	89261	89372
384.5	83061	101389	91853	91986
409.5	85179	103579	94026	94121
424.5	86382	104877	95176	95379
461.5	89471	108220	98198	98403
486.5	91204	110175	100212	100354
511.5	92993	112361	102155	102316
542.5	95304	114903	104610	104697
566.5	96894	116660	106303	106440
585.5	98214	118034	107680	107813
606	99698	119748	109108	109293
627.5	101221	121300	110643	110848
637.5	101816	121872	111363	111562
643.8	102290	122307	111768	112011
669.5	103998	124089	113651	113810
680.5	104740	124966	114438	114576
692.5	105512	125856	115309	115423
702	106089	126606	115947	116087
705	106295	126807	116158	116297
712.8	106813	127412	116648	116831
715	106894	127527	116787	116982
719.5	107198	127888	117106	117290
724.5	107498	128263	117468	117616
725	107522	128281	117505	117648
734.5	108091	128947	118086	118264
739	108430	129280	118372	118545
759	109629	130443	119605	119777
779	110792	131776	120785	120962
789	111306	132410	121404	121560
799	111814	133011	121996	122149
805	112176	133399	122370	122493
816	112686	134098	123008	123121
820.2	112864	134367	123225	123360
837	113695	135416	124210	124306
849	114369	136197	124864	124989
860	114875	136830	125471	125620
865.5	115168	137236	125778	125938
870.8	115351	137617	126053	126243
882.8	115954	138343	126769	126919
887	116207	138603	126998	127154
897	116754	139207	127571	127708
907.6	117299	139854	128115	128301
915.2	117681	140407	128541	128727
925	118197	140952	129087	129243
930	118431	141264	129352	129506
937.5	118895	141628	129796	129919
943.7	119289	141974	130149	130261
948.7	119483	142300	130397	130531
950	119564	142360	130459	130601
955.8	119908	142711	130770	130912
957.1	119990	142797	130859	130981
962.6	120244	143067	131148	131278
970	120661	143470	131563	131681
974	120860	143658	131804	131899
980.2	121183	143958	132118	132235
986.2	121413	144484	132414	132560
992.6	121738	144732	132740	132905
996.3	121880	144959	132965	133103
1014	122761	146034	133955	134047
1023	123241	146589	134435	134522
1028	123449	146824	134666	134780
1033	123648	147160	134943	135038
1038	123863	147376	135250	135297
1043	124069	147672	135500	135557
1049	124290	148077	135789	135869
1053	124449	148235	135966	136074
1058	124654	148443	136223	136330
1063	124926	148782	136499	136586
1073	125524	149319	137024	137098
1078	125790	149668	137263	137353
1083	126004	149917	137498	137610
1093.5	126600	150464	138040	138149
