depth	min	max	median	mean
1	-55	-45	-50	-50
2	-50	-38	-42	-42
4	-41	-22	-25	-27
6	-29	4	0	-4
8	-13	42	33	28
10	0	82	66	59
12	74	193	144	141
14	110	320	227	224
16	166	403	297	294
18	225	462	354	352
20	253	557	410	409
22	352	575	462	463
24	413	601	518	516
26	489	635	568	567
28	553	687	617	617
30	569	809	660	667
32	603	855	705	712
36	651	1000	791	800
40	694	1103	879	885
44	777	1171	972	975
48	863	1238	1066	1062
52	955	1294	1156	1148
56	1073	1342	1246	1235
60	1269	1381	1321	1324
64	1317	1450	1369	1372
68	1340	1521	1413	1417
72	1369	1582	1456	1460
76	1395	1633	1497	1503
80	1423	1682	1541	1544
84	1460	1720	1585	1586
88	1500	1757	1627	1628
92	1547	1795	1671	1670
96	1592	1836	1713	1713
100	1639	1874	1754	1754
104	1707	1906	1792	1795
108	1774	2115	1895	1907
112	1838	2376	2030	2052
116	1918	2613	2185	2207
120	2000	2818	2356	2370
128	2271	3082	2691	2688
136	2617	3307	3034	3014
144	3192	3425	3340	3330
152	3336	3747	3505	3517
160	3432	4026	3659	3676
