depth	min	max	median	mean
5.54688	85	310	189	191
11.07	339	562	428	434
19.5	682	1006	789	804
24.08	840	1085	918	931
27.93	959	1136	1022	1030
32.02	1067	1209	1132	1134
36.11	1160	1329	1232	1239
39.96	1233	1458	1324	1338
44.06	1460	1620	1523	1533
47.91	1639	1795	1717	1718
52	1804	1998	1919	1914
56.09	1953	2216	2117	2110
60	2090	2438	2305	2297
64	2278	2563	2450	2443
68	2453	2708	2593	2589
72	2604	2875	2735	2735
76	2740	3057	2879	2881
80	2851	3244	3025	3027
84	3128	3424	3252	3252
88	3387	3612	3479	3478
92	3605	3823	3702	3704
96	3799	4062	3931	3929
100	3971	4331	4158	4155
104	4440	4711	4576	4573
108	4875	5109	4993	4992
112	5282	5524	5413	5411
116.6	5715	6032	5895	5893
120.2	6034	6433	6257	6253
124	6111	6540	6352	6345
128	6158	6686	6449	6441
132	6190	6855	6542	6537
136	6215	7036	6636	6632
140	6239	7226	6728	6728
144	6420	7252	6819	6824
148	6580	7284	6914	6920
152	6699	7325	7014	7016
156	6790	7391	7123	7112
159.5	6857	7484	7212	7196
161	6897	7512	7248	7231
162	6924	7531	7270	7254
163	6955	7549	7292	7277
164	6975	7569	7314	7300
165	7001	7587	7335	7322
166	7022	7612	7358	7345
168	7055	7669	7401	7391
169	7067	7702	7423	7413
170	7083	7734	7445	7436
171	7095	7771	7467	7459
172	7106	7809	7489	7482
173	7115	7848	7510	7505
174	7127	7886	7531	7527
175	7134	7932	7553	7550
176	7146	7972	7574	7573
177	7154	8016	7594	7596
178	7166	8061	7616	7618
179	7174	8108	7637	7641
180	7181	8152	7658	7664
181	7224	8158	7677	7685
182	7264	8165	7699	7706
183	7305	8171	7720	7727
184	7340	8176	7741	7749
185	7379	8183	7763	7770
186	7413	8190	7785	7791
187	7441	8198	7806	7812
188	7475	8207	7827	7833
189	7506	8214	7849	7854
190	7529	8224	7871	7875
192	7576	8247	7916	7918
194	7627	8271	7962	7960
196	7660	8307	8007	8002
198	7696	8350	8054	8044
199	7710	8374	8075	8066
200	7726	8406	8096	8087
202	7800	8425	8135	8125
204	7875	8449	8173	8164
206	7935	8481	8210	8202
209	7984	8545	8268	8260
210	7996	8568	8285	8279
212	8018	8624	8319	8318
214	8038	8701	8355	8356
220	8080	8978	8451	8472
224	8135	9016	8517	8536
228	8185	9071	8588	8601
232	8222	9143	8656	8665
236	8249	9239	8722	8730
240	8276	9353	8783	8794
244	8362	9388	8850	8859
248	8426	9426	8919	8924
252	8468	9480	8996	8989
256	8501	9551	9065	9054
260	8534	9649	9135	9119
264	8633	9677	9194	9181
268	8716	9714	9259	9244
272	8783	9761	9323	9306
276	8829	9821	9391	9368
280	8872	9897	9456	9430
284	9040	9934	9507	9497
288	9205	9971	9558	9565
292	9362	10009	9611	9632
296	9495	10063	9667	9699
300	9570	10135	9730	9766
304	9813	10399	10057	10072
308	9971	10721	10385	10378
312.7	10130	11180	10759	10738
321	10396	11964	11352	11321
331	10769	12107	11595	11567
341	10985	12418	11836	11808
351	11313	12501	12028	11999
361	11522	12645	12221	12189
371	11869	12693	12410	12372
381	12046	12792	12607	12544
391	12201	12863	12661	12622
401	12309	12967	12722	12699
411	12476	13013	12782	12773
419.9639	12586	13078	12837	12840
429.366	12760	13222	12955	12966
439.7577	12802	13563	13079	13104
449.6546	12901	13904	13269	13304
459.5515	12959	14444	13434	13505
469.4485	13075	14678	13641	13703
479.3454	13149	15071	13830	13901
