depth	min	max	median	mean
0	-74	-44	-60	-59
10	22	838	277	315
20	225	1269	648	675
30	486	1657	1024	1036
40	817	1995	1411	1413
50	1177	2304	1776	1765
60	1558	2567	2147	2127
70	2002	2797	2527	2491
75	2301	2891	2705	2672
80	2770	2991	2852	2859
85	2824	3236	2973	2987
95	2970	3542	3226	3233
105	3176	3771	3476	3475
110	3298	3877	3607	3602
115	3449	3984	3733	3728
125	3806	4288	4005	4019
130	3924	4651	4210	4232
135	4059	4931	4443	4459
140	4225	5146	4681	4684
145	4418	5317	4922	4906
150	4660	5454	5145	5121
155	4975	5558	5373	5343
160	5384	5703	5563	5563
165	5517	6137	5736	5762
170	5629	6417	5935	5961
175	5749	6662	6145	6161
180	5878	6898	6357	6367
190	6240	7287	6779	6775
200	6633	7609	7191	7172
210	7169	7854	7593	7571
220	7769	8254	7974	7985
230	8055	8815	8417	8421
240	8579	9128	8850	8856
250	8786	9616	9150	9158
255	8870	9827	9289	9300
260	8966	10032	9436	9439
265	9059	10288	9583	9580
270	9133	10396	9683	9686
