depth	min	max	median	mean
0	-42	-36	-39	-39
10	-39	-12	-29	-28
20	-38	14	-18	-17
30	-23	28	1	1
40	-17	67	17	19
50	-3	124	45	49
60	3	212	69	79
77	28	273	125	131
97	69	336	189	192
117	152	403	260	263
137	296	952	537	565
157	408	1427	838	860
167	506	1592	984	1001
177	568	1729	1141	1142
197	808	1957	1458	1434
217	1175	2134	1745	1721
225	1584	2244	1892	1896
237	1827	2837	2171	2214
243	1942	3194	2386	2432
248	2007	3471	2634	2662
252	2035	3840	2805	2846
260	2084	4753	3125	3215
270	2450	4883	3654	3657
280	2577	5224	4198	4099
287	3351	5268	4477	4420
295	3980	5334	4822	4786
300	4196	5475	5045	5015
320	4503	5646	5229	5209
340	4689	5804	5370	5343
360	4901	5923	5496	5476
380	5082	6025	5621	5606
400	5291	6121	5747	5737
420	5508	6207	5867	5866
435	5690	6295	5972	5982
465	5875	6733	6244	6259
480	5952	6930	6388	6402
510	6229	7176	6680	6684
525	6356	7314	6823	6827
547	6510	7632	7038	7048
558	6565	7896	7139	7161
572	6658	8130	7274	7302
585	6736	8363	7393	7433
604	6850	8677	7577	7625
640	7071	9201	7939	7989
655	7175	9406	8087	8141
670	7287	9590	8237	8293
685	7400	9812	8387	8444
