depth	min	max	median	mean
0.1	-177	91	-44	-44
1	-147	128	-10	-9
3	-108	240	71	70
5	-88	374	152	149
8	-65	592	271	267
11	-51	812	388	385
14	-37	1041	504	503
20	-16	1507	735	739
22	150	1513	823	825
25	403	1524	950	953
29	728	1545	1121	1124
33	1033	1587	1292	1295
36	1248	1639	1417	1423
46	2203	2547	2359	2364
48	2453	2804	2617	2620
55	3286	3756	3514	3517
57	3514	4038	3771	3774
60	3852	4463	4155	4158
62	4046	4509	4280	4281
65	4210	4688	4471	4464
69	4286	5044	4732	4709
75	4336	5661	5121	5077
77	4347	5875	5251	5199
80	4366	6198	5449	5383
85	5182	6226	5780	5748
89	5771	6267	6044	6040
105	6356	7902	7064	7091
115	6528	8394	7661	7588
120	6584	8797	7905	7837
125	7360	8844	8200	8163
130	8060	8926	8485	8488
135	8471	9215	8797	8814
137.5	8521	9570	8958	8977
145	8738	11231	9549	9641
150	8810	13017	9895	10143
160	8903	16885	10555	11147
165	9133	17367	11076	11645
170	9277	18245	11593	12144
