depth	min	max	median	mean
1240	8362	9799	9293	9237
1250	8922	9881	9441	9431
1260	9324	10027	9605	9625
1270	9525	10129	9757	9776
1280	9589	10340	9912	9926
1290	9731	10449	10062	10068
1300	9800	10643	10211	10210
1310	10093	10800	10343	10361
1322	10334	11095	10570	10592
1330	10449	11404	10902	10908
1342	10677	12148	11376	11382
1350	11158	12273	11689	11695
1360	11518	12551	12092	12086
1372	11892	12823	12404	12395
1380	12009	13213	12602	12601
1392	12295	13351	12876	12860
1410	12859	13634	13253	13250
1419	13144	13757	13440	13445
1428	13258	14088	13611	13629
1435	13312	14474	13728	13770
1442	13380	14814	13849	13911
1445	13418	14879	13911	13972
1450	13469	15037	14012	14073
1455	13512	15229	14108	14174
1460	13545	15459	14201	14276
1465	13618	15554	14303	14376
1470	13677	15700	14404	14477
1480	13762	16035	14601	14678
