depth	min	max	median	mean
1555.5	28	132	75	76
1560.5	40	139	81	83
1564	47	144	86	88
1568	66	156	95	98
1569	75	162	100	104
1570.5	80	177	108	113
1575	86	258	129	140
1590.5	170	958	429	471
1610.5	460	1310	940	927
1665.5	1452	2019	1701	1709
1715.5	1832	2422	2159	2149
1735.5	2047	2565	2331	2323
1740.5	2137	2599	2366	2367
1745.5	2181	2640	2402	2410
1765	2280	2788	2519	2530
1775.5	2341	2871	2580	2592
1780.5	2378	2908	2610	2622
1785.5	2401	2947	2640	2651
1790.5	2426	2976	2669	2680
1795.5	2444	3009	2698	2709
1800.5	2473	3041	2729	2738
1805.5	2494	3076	2758	2767
1810.5	2517	3106	2788	2795
1815.5	2539	3141	2817	2824
1820.5	2568	3172	2847	2853
1825.5	2591	3203	2877	2882
1830.5	2620	3231	2907	2910
1835.5	2643	3266	2935	2939
1840.5	2672	3295	2965	2968
1860.5	2773	3406	3082	3085
1865.5	2800	3438	3113	3114
1870.5	2832	3465	3142	3144
1875.5	2857	3491	3173	3173
1880.5	2886	3515	3201	3202
1885.5	2911	3542	3231	3231
1890.5	2942	3566	3262	3260
1895.5	2968	3594	3292	3289
1900.5	2995	3616	3321	3318
1905.5	3019	3645	3354	3348
1910.5	3057	3671	3383	3378
1915.5	3089	3700	3413	3408
1920.5	3126	3720	3444	3438
1925.5	3153	3744	3474	3466
1930.5	3185	3764	3502	3495
1935.5	3215	3786	3534	3524
1940.5	3254	3810	3563	3554
1955.5	3351	3875	3657	3645
1960.5	3399	3896	3687	3675
1965.5	3436	3917	3717	3705
1970.5	3475	3936	3745	3734
1975.5	3510	3960	3774	3763
1980.5	3556	3981	3801	3791
1985.5	3594	4003	3831	3820
1990.5	3641	4023	3856	3849
1995.5	3682	4043	3883	3877
2000.5	3716	4063	3907	3903
2005.5	3735	4092	3932	3928
2010.5	3753	4120	3954	3951
2015.5	3767	4158	3974	3974
2020.5	3787	4191	3993	3995
2025.5	3802	4221	4014	4017
2030.5	3824	4251	4035	4038
2035.5	3840	4280	4055	4059
2040.5	3859	4306	4076	4081
2046.5	3884	4339	4102	4107
2055.5	3920	4387	4142	4146
2060.5	3940	4411	4165	4169
2065.5	3955	4442	4187	4191
2070.5	3978	4466	4208	4212
2075.5	3994	4488	4229	4234
2080.5	4016	4514	4251	4256
2085.5	4035	4541	4274	4277
2090.5	4053	4562	4295	4299
2095.5	4068	4591	4318	4320
2100.5	4086	4614	4339	4342
2105.5	4101	4640	4362	4364
2115.5	4140	4687	4407	4408
2125.5	4179	4737	4451	4453
2135.5	4218	4785	4496	4497
2145.5	4259	4833	4538	4540
2165.5	4341	4924	4624	4626
2215.5	4548	5120	4844	4842
2265.5	4770	5314	5064	5058
2315.5	5019	5482	5276	5271
2365.5	5332	5649	5499	5488
2415.5	5499	6038	5743	5749
2465.5	5709	6341	6003	6011
2490.5	5831	6487	6141	6145
2515.5	5940	6627	6275	6277
2565.5	6196	6871	6543	6539
2615.5	6467	7100	6811	6803
2638.5	6603	7203	6931	6923
2665.5	6767	7306	7076	7066
2670.5	6809	7323	7102	7093
2675.5	6840	7344	7129	7120
2680.5	6881	7362	7155	7147
2685.5	6913	7380	7182	7173
2690.5	6949	7396	7207	7199
2695.5	6981	7415	7235	7225
2700.5	7025	7429	7258	7250
2705.5	7055	7445	7282	7277
2710.5	7101	7460	7307	7303
2715.5	7137	7477	7333	7330
2720.5	7194	7494	7357	7356
2725.5	7249	7518	7383	7383
2730.5	7280	7546	7415	7406
2735.5	7295	7568	7432	7428
2740.5	7310	7599	7450	7448
2745.5	7324	7635	7467	7468
2751.5	7341	7675	7489	7492
2755.5	7348	7706	7503	7507
2760.5	7365	7739	7522	7527
2765.5	7379	7773	7539	7546
2770.5	7393	7800	7557	7566
2775.5	7404	7830	7576	7585
2780.5	7419	7862	7594	7605
2785.5	7430	7892	7612	7624
2790.5	7446	7923	7630	7644
2795.5	7458	7959	7648	7663
2800.5	7476	7986	7667	7683
2805.5	7491	8021	7686	7703
2810.5	7510	8048	7704	7723
2815.5	7524	8077	7721	7742
2820.5	7541	8105	7740	7762
2825.5	7555	8136	7758	7782
2830.5	7575	8162	7777	7801
2835.5	7591	8188	7796	7821
2840.5	7609	8216	7813	7840
2843.5	7619	8230	7824	7852
2851.5	7649	8269	7853	7883
2853	7653	8277	7859	7889
2855.5	7658	8291	7870	7898
2858	7669	8303	7880	7909
2860.5	7678	8318	7890	7920
2863	7686	8332	7900	7931
2865.5	7694	8349	7910	7941
2868	7715	8368	7928	7961
2870.5	7739	8396	7959	7995
2873	7753	8432	7995	8029
2875.5	7765	8480	8028	8062
2878	7787	8527	8063	8096
2880.5	7817	8544	8104	8130
2883	7837	8574	8146	8164
2885.5	7851	8613	8183	8198
2888	7877	8653	8219	8233
2890.5	7915	8669	8259	8268
2893	7942	8691	8300	8304
2895.5	7960	8732	8339	8340
2898	7992	8768	8375	8375
2900.5	8033	8787	8412	8410
2903	8062	8810	8449	8445
2905.5	8083	8841	8488	8480
2907.5	8105	8866	8516	8508
2910.5	8165	8883	8555	8546
2913	8201	8899	8591	8579
2915.5	8221	8921	8625	8611
2940.5	8810	9461	9088	9105
2965.5	10092	10727	10455	10442
2975.5	10411	11078	10701	10721
2980.5	10517	11306	10813	10853
2983.5	10555	11492	10880	10936
2985.5	10576	11656	10923	10991
2995.5	11244	12264	11839	11787
3015.5	11496	13221	12296	12299
