depth	min	max	median	mean
1	-122	158	-8	-1
3	-103	179	15	21
5	-90	203	38	43
7	-80	233	60	65
9	-74	274	80	87
11	-67	317	100	109
13	-61	365	121	131
15	-56	415	141	154
17	-53	464	161	176
19	-50	516	182	198
21	-28	543	203	221
23	12	550	228	246
25	43	558	255	271
27	67	565	284	295
29	88	575	314	320
31	105	584	344	345
33	120	597	374	370
35	136	613	404	394
37	149	633	431	419
39	159	660	458	444
41	193	677	481	468
43	249	681	502	492
45	304	684	522	515
47	357	688	543	539
49	409	695	564	562
51	460	702	588	586
55	543	728	647	633
57	559	761	665	657
59	569	807	683	681
61	577	834	695	696
63	586	837	701	702
65	594	841	707	709
67	600	847	713	715
69	606	852	720	722
71	611	858	726	728
73	615	864	732	735
75	619	872	738	742
77	623	882	744	748
79	626	893	750	755
81	636	901	756	762
83	651	907	763	770
85	662	913	771	778
87	671	920	778	786
89	677	930	786	794
91	682	942	793	803
102.5	705	1048	841	851
104.5	711	1065	851	861
106.5	715	1084	861	871
108.5	719	1105	871	881
110.5	722	1130	880	891
112.5	725	1158	888	901
114.5	728	1188	897	911
116.5	730	1220	905	921
118.5	733	1247	912	931
120.5	737	1274	920	941
122.5	746	1284	930	951
124.5	753	1300	939	961
126.5	758	1313	949	971
128.5	763	1332	960	981
130.5	767	1351	970	991
132.5	770	1370	978	1002
134.5	773	1392	987	1012
136.5	776	1414	996	1022
138.5	779	1443	1005	1032
140.5	784	1464	1015	1042
142.5	793	1472	1025	1052
144.5	800	1485	1035	1062
146.5	807	1495	1045	1073
148.5	812	1506	1054	1083
