depth	min	max	median	mean
6	-50	-43	-44	-45
26.5	268	427	327	332
42.5	356	599	470	473
52.5	471	665	570	571
61	618	806	704	706
67.75	762	1115	971	962
75	1048	1324	1224	1215
82	1204	1689	1425	1432
89.25	1331	1882	1607	1608
104	1779	2172	1972	1973
111.5	1913	2547	2172	2187
119.5	2035	2774	2408	2408
133.5	2581	2980	2814	2804
140	2846	3151	2977	2984
145.75	2923	3311	3103	3107
150.25	2957	3505	3194	3203
156	3070	3560	3330	3324
160.5	3141	3651	3434	3421
164.5	3361	3685	3521	3521
168	3487	3791	3606	3608
171.5	3556	3891	3705	3709
174.75	3600	4095	3807	3820
178	3627	4352	3906	3932
181.25	3681	4546	4005	4040
185	3755	4655	4138	4160
189	3805	4844	4270	4288
193.5	3969	4963	4428	4445
199	4092	5104	4651	4642
205.25	4351	5232	4866	4849
213.25	4877	5410	5156	5153
222.5	5268	6041	5596	5607
233	5741	6596	6198	6188
242.5	6513	6831	6669	6672
257	7433	7617	7524	7522
263.25	7629	8137	7886	7883
275	8208	8971	8554	8564
280.25	8523	9169	8867	8861
285.75	8656	9271	8991	8977
291	8725	9449	9096	9085
296.5	8819	9550	9195	9187
318.75	9190	9937	9611	9599
332	9548	10102	9861	9850
339.75	9778	10173	9993	9999
380.25	10304	10813	10527	10532
