depth	min	max	median	mean
0	-45	-39	-42	-42
5	-33	221	48	62
15	-14	749	230	271
25	69	1082	430	474
35	140	1254	663	671
45	323	1439	867	870
55	485	1551	1100	1073
65	754	1684	1294	1270
70	937	1722	1380	1365
85	1356	1898	1648	1644
95	1566	2123	1816	1823
105	1664	2422	1969	1990
115	1728	2705	2115	2145
125	1820	2963	2257	2298
135	1908	3182	2422	2452
145	2016	3371	2577	2607
155	2116	3555	2750	2765
170	2306	3801	2978	2998
175	2355	3892	3056	3076
185	2503	4061	3212	3233
195	2623	4193	3379	3393
205	2777	4366	3549	3555
215	2912	4508	3723	3718
225	3047	4649	3888	3876
235	3190	4767	4042	4030
245	3362	4889	4203	4184
253	3515	4957	4329	4306
255	3534	4986	4363	4337
265	3741	5110	4516	4493
275	3969	5219	4675	4654
285	4198	5323	4824	4811
295	4439	5395	4975	4965
305	4794	5513	5156	5158
315	5038	5791	5387	5392
325	5215	6347	5681	5705
335	5336	7287	6032	6098
345	5548	7924	6409	6491
355	5733	8352	6831	6886
375	6239	9206	7646	7669
395	6831	9912	8481	8448
415	7505	10468	9289	9206
435	8467	10910	10114	9999
455	10278	11265	10806	10801
475	10836	12166	11385	11418
495	11192	12844	11969	11981
515	11696	13330	12600	12574
535	12514	13663	13167	13148
575	13490	15011	14066	14114
615	13958	16373	14860	14938
