depth	min	max	median	mean
1	-23	-17	-20	-20
2	-17	-4	-10	-10
4	-9	27	9	9
7	3	74	39	39
8	6	89	49	49
9	10	105	59	59
10	14	121	68	68
12	22	152	88	88
14	29	183	108	108
20	52	277	167	166
24	112	372	243	243
30	150	615	377	377
40	176	1085	597	600
50	552	1203	839	850
60	739	1527	1093	1103
70	861	1863	1311	1325
95	1143	2691	1867	1880
125	1774	3164	2575	2540
145	2444	3397	2969	2966
182	2879	4476	3561	3601
210	3244	4881	4065	4064
220	3347	5054	4245	4232
230	3577	5145	4415	4400
240	3691	5285	4605	4568
250	3976	5359	4763	4738
260	4133	5479	4940	4907
265	4371	5518	5015	5000
270	4595	5552	5098	5094
275	4736	5618	5193	5189
280	4813	5756	5284	5284
285	4924	5854	5377	5380
290	4986	5969	5476	5476
300	5066	6365	5652	5669
310	5265	6509	5848	5859
330	5786	6869	6269	6280
340	5961	7184	6502	6516
350	6153	7564	6792	6810
360	6239	8296	7047	7111
380	6594	8809	7711	7703
395	7052	9020	8183	8141
415	8088	9340	8720	8727
445	8561	10361	9299	9336
455	8663	10603	9472	9511
475	8877	11088	9818	9865
500	9173	11646	10262	10308
520	9430	12006	10624	10653
540	9707	12361	10995	11003
560	10031	12725	11358	11359
600	10732	13305	12094	12067
620	11107	13630	12449	12417
640	11583	13925	12790	12771
660	11917	14431	13154	13155
675	12124	14891	13432	13455
685	12246	15321	13599	13656
705	12510	16004	13989	14059
