depth	min	max	median	mean
1	-45	-10	-34	-32
4	-25	105	11	21
6	-12	182	41	55
8	0	259	72	90
10	12	337	102	125
12	34	368	137	158
14	45	405	173	191
16	54	457	207	223
18	61	521	238	256
20	68	591	269	289
22	99	605	301	318
24	122	628	335	347
26	137	658	369	376
28	153	692	399	405
30	165	742	429	434
34	229	773	504	502
35	242	784	523	519
37	257	810	563	553
39	274	845	602	587
41	321	870	632	619
43	392	880	657	650
45	447	893	685	682
47	483	911	719	713
49	507	933	751	744
51	572	964	787	783
53	674	999	829	830
55	759	1032	880	877
56	792	1050	907	900
58	815	1133	942	947
60	831	1232	982	994
62	900	1398	1108	1120
65	950	1795	1276	1310
66	960	1937	1329	1374
68	983	2231	1441	1500
70	1004	2541	1552	1627
72	1105	2565	1674	1732
74	1177	2593	1815	1836
76	1213	2620	1969	1941
78	1240	2659	2086	2045
80	1272	2754	2202	2150
82	1584	2776	2325	2283
84	1886	2799	2446	2416
86	2161	2826	2568	2549
87	2305	2842	2631	2615
89	2491	2893	2756	2749
91	2571	2952	2826	2825
93	2596	2971	2848	2844
95	2619	3005	2868	2863
97	2637	3045	2885	2883
101	2688	3120	2921	2921
103	2730	3137	2941	2941
105	2765	3152	2961	2960
107	2787	3174	2980	2980
111	2828	3228	3019	3019
113	2854	3240	3038	3039
115	2878	3253	3057	3059
117	2895	3272	3076	3078
119	2911	3295	3095	3098
121	2946	3314	3117	3121
123	2981	3324	3139	3148
125	3010	3343	3163	3174
127	3034	3366	3191	3201
129	3049	3412	3217	3227
131	3092	3462	3258	3267
134	3150	3538	3350	3348
136	3173	3606	3407	3401
138	3193	3692	3460	3454
140	3207	3790	3512	3508
142	3321	3810	3564	3566
145	3469	3853	3649	3653
147	3537	3898	3708	3711
149	3591	3960	3768	3769
151	3648	4039	3834	3835
153	3703	4129	3908	3910
155	3744	4256	3977	3985
157	3772	4411	4044	4060
159	3794	4571	4113	4135
161	3844	4671	4189	4211
163	3906	4712	4276	4288
165	3950	4778	4361	4364
167	3991	4861	4440	4441
168	4011	4904	4482	4479
170	4041	5018	4559	4555
172	4193	5049	4634	4635
174	4341	5089	4716	4715
176	4454	5133	4796	4794
178	4529	5181	4882	4874
180	4593	5258	4970	4954
182	4716	5272	5013	5007
184	4822	5289	5056	5060
186	4893	5311	5103	5113
188	4937	5387	5162	5166
190	4970	5479	5211	5219
191	4986	5491	5226	5234
193	5020	5514	5260	5265
195	5049	5544	5293	5295
197	5068	5589	5323	5325
199	5085	5639	5352	5356
201	5113	5673	5381	5387
202	5140	5682	5398	5403
205	5192	5714	5448	5452
206	5205	5725	5467	5468
208	5230	5755	5502	5500
210	5247	5798	5533	5533
212	5296	5816	5564	5564
214	5342	5840	5595	5595
216	5376	5856	5630	5626
218	5406	5879	5663	5657
221	5484	5935	5718	5713
224	5608	5993	5801	5789
226	5647	6052	5852	5839
228	5674	6145	5892	5890
229	5685	6196	5911	5915
231	5748	6316	5989	6000
233	5819	6487	6110	6121
235	5863	6715	6221	6241
237	5890	6954	6329	6362
239	5921	7218	6440	6482
241	5981	7391	6547	6596
243	6064	7478	6662	6703
245	6117	7593	6787	6810
247	6164	7734	6907	6917
249	6201	7936	7026	7024
251	6311	8068	7138	7133
252	6400	8086	7193	7188
254	6518	8165	7307	7299
256	6597	8241	7416	7411
258	6655	8348	7540	7522
260	6717	8484	7652	7633
262	6864	8514	7763	7739
264	6980	8552	7879	7844
265	7040	8572	7936	7897
267	7131	8626	8053	8003
269	7203	8706	8165	8109
271	7362	8772	8268	8216
273	7641	8794	8364	8325
275	7901	8815	8463	8435
277	8157	8847	8558	8544
278	8268	8867	8607	8599
280	8437	8931	8712	8708
282	8643	8976	8824	8819
284	8700	9187	8932	8931
286	8735	9463	9024	9042
288	8757	9755	9113	9153
290	8780	10041	9201	9264
292	8885	10108	9317	9371
294	8941	10203	9449	9478
295	8963	10258	9512	9532
297	9000	10379	9628	9638
299	9034	10522	9741	9745
301	9122	10635	9844	9849
303	9245	10680	9945	9949
305	9330	10735	10054	10049
307	9403	10819	10166	10149
309	9456	10924	10280	10249
311	9602	11006	10377	10353
313	9804	11048	10475	10461
315	9942	11091	10581	10569
317	10059	11153	10705	10677
318	10093	11191	10770	10731
320	10158	11307	10885	10839
322	10354	11327	10965	10927
324	10546	11352	11042	11015
326	10730	11381	11122	11103
328	10855	11432	11199	11191
330	10916	11496	11276	11279
332	10995	11521	11313	11314
333	11042	11537	11330	11331
335	11116	11577	11365	11365
337	11167	11626	11396	11399
339	11206	11681	11426	11434
341	11250	11721	11460	11470
343	11295	11745	11499	11507
345	11327	11775	11538	11544
347	11352	11823	11578	11582
349	11371	11887	11618	11619
351	11402	11942	11652	11656
353	11442	11988	11685	11692
355	11470	12055	11717	11728
356	11483	12090	11735	11746
358	11502	12168	11767	11783
360	11519	12250	11798	11819
362	11581	12278	11828	11858
364	11635	12312	11856	11897
366	11680	12348	11882	11936
368	11713	12392	11907	11975
370	11739	12448	11933	12014
371	11788	12499	12001	12069
373	11845	12650	12142	12180
375	11881	12826	12269	12291
377	11907	13051	12383	12402
379	11933	13313	12482	12513
381	12017	13472	12589	12626
383	12109	13524	12719	12742
385	12181	13588	12848	12858
387	12232	13695	12982	12973
388	12253	13755	13051	13031
390	12308	13919	13172	13147
392	12561	13969	13286	13274
394	12800	14028	13401	13401
396	12971	14111	13529	13528
398	13104	14245	13655	13655
400	13201	14403	13783	13782
402	13487	14504	13878	13897
404	13646	14636	13991	14011
405	13696	14731	14046	14069
407	13778	14865	14144	14183
409	13830	15095	14241	14298
