depth	min	max	median	mean
15	-597	644	102	88
45	-26	1137	491	499
60	260	1376	650	677
65	768	1663	1063	1088
70	1426	2128	1727	1736
75	1964	2805	2385	2384
80	2834	3597	3224	3219
85	3956	4388	4183	4181
90	4968	5274	5152	5142
100	5591	5717	5636	5639
105	5609	5842	5702	5709
115	5674	5941	5797	5798
125	5755	6007	5899	5880
132	5790	6105	5954	5951
140	5870	6215	6026	6034
150	6008	6270	6142	6142
155	6090	6326	6209	6208
160	6193	6379	6282	6283
165	6252	6482	6353	6358
167	6265	6533	6381	6387
172	6339	7390	6561	6639
183	6410	9428	6941	7192
200	6654	10953	7790	8052
210	6819	11832	8284	8546
225	7131	12926	9016	9274
240	7478	14144	9796	10039
