depth	min	max	median	mean
10	-240	78	-62	-66
20	-215	193	-15	-13
30	-158	231	41	41
40	-115	300	95	95
50	-54	329	148	144
60	-25	381	202	193
70	69	401	256	249
80	117	442	313	305
90	241	458	359	358
100	318	494	414	410
110	355	636	485	486
120	375	827	548	563
130	436	892	631	641
140	468	1005	709	720
150	548	1044	789	792
160	590	1124	867	865
170	706	1152	949	945
180	766	1215	1040	1025
190	948	1236	1109	1106
200	1075	1279	1195	1188
210	1133	1351	1257	1252
220	1166	1461	1317	1316
230	1303	1488	1380	1388
240	1370	1571	1449	1459
250	1416	1680	1538	1540
260	1436	1847	1612	1620
270	1517	1890	1704	1703
280	1555	1976	1796	1785
290	1721	2013	1865	1864
300	1822	2084	1945	1943
340	1960	2808	2224	2271
360	2038	3098	2398	2444
380	2135	3353	2631	2641
400	2338	3870	3012	3023
420	2621	4199	3412	3411
440	2959	4535	3847	3811
460	3377	4775	4251	4194
480	3966	4934	4600	4555
500	4665	5117	4890	4898
520	4850	5656	5149	5180
540	5016	6005	5474	5483
560	5226	6232	5793	5770
580	5552	6388	6116	6074
600	6218	6540	6369	6372
620	6361	7266	6677	6719
640	6542	7679	7077	7082
660	6809	7885	7424	7399
680	7212	8041	7779	7736
700	7947	8159	8040	8042
720	8044	8237	8100	8112
740	8075	8338	8158	8170
760	8113	8433	8217	8226
780	8166	8526	8272	8284
800	8224	8608	8322	8339
820	8329	9231	8625	8665
840	8475	9576	8981	8992
860	8728	9832	9331	9319
880	9098	10040	9673	9647
900	9669	10193	9971	9962
920	9794	10477	10134	10136
940	9941	10679	10310	10309
960	10097	10836	10482	10481
980	10288	10975	10665	10656
1000	10496	11081	10846	10832
1020	10786	11275	11057	11045
1040	10944	12374	11387	11456
1060	11130	13053	11782	11861
