depth	min	max	median	mean
10	-8	806	409	396
30	791	1773	1279	1273
40	1297	2014	1731	1703
50	1881	2172	2012	2018
60	1971	2840	2294	2332
75	2856	3325	3035	3052
80	2957	3726	3283	3292
85	3210	4028	3607	3607
90	3341	4422	3945	3922
120	3943	5435	4897	4834
160	5155	5671	5445	5447
175	6051	6667	6360	6363
180	6263	7051	6666	6668
185	6733	7323	7031	7034
190	7177	7610	7403	7401
195	7559	7927	7780	7767
205	8029	8314	8213	8193
230	8410	8768	8576	8578
245	8643	9193	8888	8896
248	8670	9331	8951	8962
250	8685	9443	8989	9006
253	8704	9640	9040	9072
