depth	min	max	median	mean
0	-48	-42	-45	-45
10	-36	37	-1	-1
20	-27	119	43	43
30	89	389	206	217
40	116	774	367	390
50	344	869	599	603
60	462	1078	835	815
70	918	1166	1012	1021
80	995	1566	1207	1227
90	1088	1731	1375	1384
100	1132	2059	1520	1542
110	1286	2170	1701	1707
120	1361	2359	1880	1873
130	1567	2426	2036	2027
140	1673	2567	2207	2181
150	2042	2618	2342	2340
160	2259	2715	2484	2499
170	2382	2845	2605	2608
180	2419	3067	2710	2717
190	2516	3136	2823	2822
200	2569	3259	2931	2926
210	2701	3302	3042	3029
220	2771	3388	3150	3132
230	3019	3420	3243	3238
240	3173	3505	3352	3343
250	3270	3728	3473	3480
260	3307	4070	3588	3617
270	3418	4168	3736	3752
280	3471	4376	3876	3887
290	3608	4457	4019	4023
300	3682	4614	4166	4160
310	3866	4675	4305	4297
320	3968	4793	4452	4433
330	4289	4860	4581	4579
340	4463	5002	4726	4725
