depth	min	max	median	mean
0.5	-61	118	22	23
10.5	38	934	316	364
20.5	207	1317	693	712
30.5	465	1615	1070	1060
40.5	822	1833	1427	1397
45.5	1208	1902	1576	1568
63	1746	2565	2079	2100
69	1826	2841	2237	2263
79	1999	3201	2516	2539
89	2187	3526	2793	2810
99	2414	3807	3069	3080
109	2656	4074	3349	3353
119	2916	4314	3632	3626
129	3211	4546	3912	3901
135	3428	4659	4075	4065
152	4037	5056	4538	4535
159	4205	5304	4735	4736
169	4410	5684	5015	5022
179	4646	6003	5292	5300
189	4894	6298	5580	5586
199	5164	6553	5874	5869
209	5449	6791	6164	6152
219	5771	7014	6452	6434
229	6143	7209	6734	6719
239	6593	7419	7016	7013
251	6862	8147	7394	7421
259	7023	8523	7668	7698
269	7251	8947	8019	8043
279	7511	9316	8373	8392
289	7791	9636	8733	8738
299	8053	9939	9064	9047
309	8219	10243	9268	9263
319	8371	10524	9466	9465
324	8462	10654	9566	9567
