depth	min	max	median	mean
2	-32	330	94	110
6	-6	1082	371	420
10	19	1832	646	730
14	317	1967	1024	1059
18	462	2177	1426	1389
22	880	2409	1743	1712
26	1523	2486	2030	2028
30	1953	2644	2361	2344
34	2419	2825	2633	2629
38	2513	3423	2887	2914
42	2667	3817	3136	3174
46	2811	3964	3422	3408
50	2912	4214	3681	3642
54	3424	4259	3895	3876
58	3868	4331	4114	4110
62	4152	4532	4356	4352
66	4244	5088	4577	4602
70	4293	5716	4799	4852
74	4504	5825	5058	5093
78	4605	6032	5339	5334
82	4841	6232	5580	5567
86	5153	6309	5823	5794
90	5327	6463	6067	6021
94	5945	6528	6284	6270
98	6359	6706	6511	6518
100	6407	6970	6626	6643
102	6487	7071	6730	6743
106	6557	7392	6936	6944
110	6606	7812	7116	7144
118	6922	8029	7564	7536
122	7182	8175	7754	7728
130	7865	8338	8103	8106
131	7915	8349	8129	8133
132	7959	8360	8156	8160
133	7995	8375	8184	8187
134	8023	8392	8212	8214
135	8046	8414	8243	8241
136	8067	8440	8275	8268
137	8084	8467	8307	8295
138	8096	8503	8339	8322
140	8123	8587	8396	8376
142	8157	8607	8422	8401
150	8230	8771	8506	8501
154	8280	8808	8548	8545
158	8311	8861	8589	8588
162	8353	8910	8632	8631
164	8377	8924	8654	8652
166	8398	8943	8675	8674
170	8430	8988	8716	8716
174	8488	9044	8772	8776
178	8528	9168	8836	8837
182	8579	9296	8903	8908
190	8653	9621	9058	9072
194	8714	9720	9136	9153
198	8754	9867	9210	9234
