depth	min	max	median	mean
0	2772	3380	3110	3101
2.5	2867	3408	3159	3153
5	2942	3442	3210	3206
7.5	3004	3489	3262	3258
10	3043	3556	3315	3310
12.5	3073	3644	3366	3362
15	3097	3746	3413	3414
17.5	3205	3776	3470	3475
20	3293	3818	3528	3536
22.5	3356	3872	3589	3596
25	3394	3950	3649	3657
27.5	3421	4055	3706	3718
30	3444	4177	3763	3778
32.5	3514	4224	3825	3839
35	3561	4280	3891	3900
37.5	3594	4357	3955	3961
40	3622	4454	4016	4022
42.5	3644	4570	4073	4083
45	3665	4703	4130	4144
47.5	3749	4737	4193	4205
50	3812	4774	4258	4266
52.5	3862	4814	4326	4328
55	3903	4866	4392	4389
57.5	3938	4933	4457	4450
60	3964	5030	4518	4511
62.5	4095	5057	4574	4573
65	4209	5086	4632	4634
67.5	4308	5119	4693	4696
70	4391	5160	4756	4757
72.5	4454	5207	4818	4819
75	4509	5273	4877	4880
77.5	4567	5341	4944	4944
80	4611	5423	5005	5008
82.5	4646	5528	5066	5073
85	4672	5658	5125	5137
87.5	4700	5796	5182	5201
90	4723	5946	5239	5265
92.5	4794	5991	5304	5328
95	4847	6041	5370	5391
97.5	4890	6102	5441	5455
100	4926	6175	5506	5518
102.5	4958	6265	5570	5581
105	4984	6374	5629	5644
107.5	5065	6411	5695	5708
110	5131	6454	5760	5771
112.5	5182	6500	5830	5834
115	5228	6555	5897	5897
117.5	5265	6634	5967	5961
120	5296	6722	6032	6024
122.5	5403	6750	6094	6087
125	5484	6784	6161	6151
127.5	5549	6818	6230	6215
130	5606	6861	6298	6278
132.5	5653	6921	6367	6342
135	5692	6995	6430	6405
137.5	5817	7018	6488	6468
140	5940	7043	6547	6530
142.5	6036	7071	6608	6593
145	6108	7110	6671	6655
147.5	6175	7159	6735	6718
150	6231	7221	6799	6780
152.5	6335	7252	6853	6838
155	6420	7290	6910	6897
157.5	6481	7340	6969	6955
160	6527	7411	7025	7013
