depth	min	max	median	mean
64	784	2389	1665	1648
74	1053	2563	2073	1977
84	1878	2638	2311	2289
94	2349	2797	2538	2554
104	2398	3273	2717	2749
114	2494	3391	2910	2919
124	2630	3530	3097	3095
134	2733	3617	3338	3283
144	3199	3672	3481	3467
154	3464	3765	3611	3611
164	3529	3898	3692	3698
174	3579	3976	3751	3758
184	3636	4053	3810	3819
194	3671	4143	3877	3882
204	3793	4228	3954	3971
214	3903	4391	4107	4115
224	3976	4701	4334	4337
234	4386	4772	4570	4574
240	4563	4851	4720	4718
241	4583	4857	4730	4727
242	4601	4861	4739	4737
243	4620	4867	4748	4747
244	4637	4874	4757	4757
245	4653	4885	4766	4766
246	4669	4895	4775	4776
247	4682	4906	4782	4786
248	4698	4922	4790	4795
249	4714	4936	4797	4805
250	4727	4949	4803	4815
254	4775	5008	4828	4854
255	4783	5026	4836	4863
256	4828	5048	4872	4899
257	4866	5073	4912	4934
258	4903	5103	4954	4969
259	4936	5135	4997	5005
261	4997	5197	5077	5075
262	5025	5223	5110	5111
263	5053	5254	5143	5146
264	5077	5289	5176	5181
265	5101	5328	5210	5217
266	5125	5370	5243	5252
267	5149	5415	5276	5287
268	5169	5462	5309	5323
269	5188	5510	5343	5358
271	5236	5559	5384	5401
272	5263	5561	5392	5409
273	5289	5562	5400	5416
274	5311	5563	5406	5424
275	5327	5564	5414	5432
276	5334	5566	5426	5439
277	5337	5568	5441	5447
278	5340	5571	5455	5455
279	5342	5574	5466	5463
280	5344	5577	5474	5470
281	5346	5583	5485	5478
282	5347	5597	5496	5486
283	5348	5618	5507	5493
284	5350	5639	5517	5501
285	5350	5668	5526	5509
286	5369	5683	5541	5527
287	5379	5703	5558	5544
288	5385	5730	5573	5562
289	5392	5758	5587	5579
291	5402	5825	5617	5615
292	5406	5862	5631	5632
293	5410	5895	5646	5650
294	5413	5936	5659	5668
295	5417	5977	5673	5685
296	5419	6016	5687	5703
297	5422	6059	5702	5721
298	5426	6100	5715	5738
299	5430	6140	5728	5756
301	5462	6189	5764	5792
302	5485	6194	5784	5810
303	5505	6206	5803	5828
304	5521	6210	5824	5846
305	5537	6218	5847	5864
306	5549	6224	5870	5882
307	5563	6231	5894	5900
308	5570	6246	5918	5918
309	5578	6263	5941	5936
311	5592	6293	5985	5972
312	5596	6312	6005	5990
313	5605	6337	6024	6008
314	5609	6362	6042	6026
315	5613	6389	6060	6044
316	5650	6392	6074	6058
317	5690	6398	6087	6072
326	5894	6449	6213	6202
336	6243	6583	6378	6388
346	6348	7042	6566	6602
356	6429	7262	6823	6828
366	6564	7488	7059	7052
376	6707	7635	7328	7278
386	7339	7668	7524	7517
394	7540	7884	7695	7700
396	7553	7986	7733	7744
404	7587	8438	7885	7919
406	7615	8505	7926	7961
414	7697	8592	8132	8130
416	7706	8627	8180	8172
424	7887	8774	8346	8338
426	7948	8789	8386	8378
434	8081	8896	8563	8542
436	8160	8922	8599	8585
444	8539	9017	8748	8769
445	8553	9075	8772	8791
