depth	min	max	median	mean
0	-26	-20	-23	-23
2.5	-14	338	72	96
5	-6	699	166	214
7.5	54	823	305	339
10	84	1043	426	464
12.5	182	1160	567	599
15	231	1394	701	733
17.5	344	1498	842	865
20	414	1681	977	996
22.5	535	1769	1113	1120
25	607	1900	1242	1244
27.5	732	1983	1378	1372
30	811	2136	1510	1500
32.5	978	2203	1653	1639
35	1085	2331	1799	1777
37.5	1261	2386	1934	1907
40	1370	2488	2075	2037
45	1643	2624	2356	2268
50	1785	2728	2426	2366
52.5	1853	2769	2470	2414
55	1908	2824	2509	2462
57.5	1984	2861	2551	2510
60	2038	2913	2592	2558
62.5	2113	2947	2635	2605
65	2176	2999	2677	2651
67.5	2243	3029	2721	2699
70	2300	3081	2765	2746
75	2438	3162	2852	2839
80	2572	3241	2944	2935
85	2720	3311	3034	3030
90	2877	3376	3123	3125
95	2968	3559	3240	3248
100	3064	3726	3370	3374
105	3162	3867	3496	3499
110	3259	3995	3623	3622
115	3373	4109	3746	3745
120	3490	4227	3871	3869
125	3616	4335	4000	3994
130	3744	4437	4126	4116
135	3897	4540	4251	4241
140	4060	4641	4379	4368
145	4251	4763	4489	4491
150	4333	4868	4587	4594
155	4421	4982	4689	4694
160	4511	5099	4789	4794
165	4599	5201	4894	4895
170	4688	5304	4999	4994
175	4780	5408	5107	5094
180	4881	5512	5214	5195
185	5007	5763	5364	5372
190	5158	5988	5549	5557
195	5305	6186	5735	5741
200	5471	6359	5929	5926
205	5666	6518	6127	6116
210	5858	6648	6314	6298
215	6116	6762	6498	6483
220	6467	6867	6674	6668
225	6553	7058	6790	6795
230	6648	7206	6915	6918
235	6754	7322	7041	7040
240	6866	7425	7165	7160
245	7000	7519	7293	7283
250	7153	7599	7417	7406
255	7369	7667	7531	7529
260	7473	8024	7674	7694
265	7567	8278	7845	7866
270	7672	8514	8020	8038
275	7798	8713	8193	8211
280	7934	8896	8368	8382
285	8079	9077	8542	8555
290	8255	9235	8710	8730
295	8437	9389	8879	8905
300	8540	9481	8990	9001
305	8637	9567	9094	9096
310	8736	9649	9186	9188
315	8832	9735	9279	9281
320	8936	9822	9375	9377
325	9042	9907	9465	9470
330	9155	9981	9556	9564
335	9276	10055	9648	9658
340	9403	10122	9740	9753
345	9551	10184	9834	9847
350	9625	10366	9954	9968
355	9713	10515	10081	10091
360	9809	10651	10208	10212
365	9912	10791	10332	10335
370	10010	10929	10457	10457
375	10131	11061	10581	10581
380	10237	11187	10702	10703
385	10344	11304	10822	10824
390	10429	11441	10922	10928
390.1	10431	11443	10924	10930
395	10512	11574	11022	11030
